node1_norm,node2_norm,weight
butt,honestly,130
learn,speak,248
college,pay,386
understand,unless,29
certain,follow,63
nobody,trouble,7
current,emotion,41
recently,sure,21
lack,low,90
honestly,stupid,26
butt,food,156
butt,drive,110
ever,smoke,198
become,come,459
hurt,talk,171
parent,stop,133
quit,spend,161
food,remember,102
call,fuck,216
call,recently,39
lose,proud,26
head,result,74
mentally,shouldnt,2
effort,never,173
book,value,188
mental,read,161
follow,realize,131
realize,repeat,26
come,fall,191
always,thinking,441
last,live,226
already,sick,28
fail,quickly,27
peace,throw,8
fit,growth,18
always,worth,143
always,together,171
emotional,realize,92
date,half,39
forget,serious,7
anyone,class,153
conversation,list,47
butt,smart,80
need,surround,26
social,young,91
adult,everything,35
boring,everything,29
actually,part,174
adult,school,138
beat,school,61
high,joy,28
pretty,sport,60
however,sad,34
believe,real,258
long,waste,100
entire,moment,46
edit,job,14
edit,probably,13
hold,job,132
see,sorry,58
long,piece,41
mother,pattern,14
ever,rest,172
part,ultimately,31
learn,piece,91
become,improve,209
fuck,look,179
back,house,219
degree,part,76
fail,less,135
hold,turn,89
home,mother,157
angry,begin,33
bed,three,48
hurt,piece,15
huge,slow,9
mother,scared,32
anger,angry,292
return,wear,6
recently,thinking,73
pay,progress,58
fear,suffer,69
attention,meaning,17
mom,realize,113
front,pay,29
create,develop,181
anger,depressed,10
anger,fully,13
field,smile,5
drink,give,141
bear,keep,30
never,response,36
away,first,268
guy,happen,164
esteem,happen,20
enough,weight,92
least,little,139
able,story,151
play,pull,33
least,trouble,13
couple,late,102
esteem,saying,31
almost,weight,82
low,ugly,16
eye,response,8
event,future,96
allow,base,57
base,opinion,50
car,miss,23
car,shape,9
add,seem,38
pattern,side,18
routine,specific,42
emotional,recognize,43
big,move,317
learn,real,282
meaningful,should,30
saying,sometimes,186
awesome,check,8
concept,event,15
awesome,note,8
awesome,program,3
part,real,228
become,information,83
notice,test,36
kid,opportunity,47
happy,realize,201
amount,learn,127
boundaries,social,27
important,media,138
remember,schedule,54
amount,order,49
finish,reduce,6
food,support,52
angry,break,30
high,open,102
instead,living,205
become,health,164
activity,relax,41
comfortable,short,13
emotion,pick,42
clear,emotion,64
soon,uncomfortable,15
great,piece,31
deal,specific,31
fact,university,40
exist,however,34
bring,test,40
act,activity,46
begin,perhaps,32
knowledgeable,reach,31
failure,long,79
due,pretty,95
certain,see,114
course,talk,135
another,away,284
always,hear,152
mindset,weight,53
clothes,say,45
case,see,91
body,forward,54
exercise,word,65
face,please,56
please,possible,36
judge,possible,20
decent,ever,30
decent,healthy,8
physically,tv,3
group,look,105
look,sort,52
although,improve,33
sometimes,thought,398
behavior,call,106
career,kid,79
constantly,hang,18
although,decent,10
current,list,44
confident,thinking,108
fun,interesting,79
club,sense,6
poor,wear,7
play,thought,204
assume,sleep,22
information,write,93
open,smart,20
doctor,pass,12
major,smart,6
hate,play,239
mentally,sleep,49
bed,finish,31
course,show,113
free,online,123
train,two,27
believe,close,137
believe,top,52
challenge,healthy,76
amount,write,76
achieve,clear,103
method,task,47
entire,project,18
book,necessary,34
left,two,126
event,long,62
call,explore,23
lead,listen,94
begin,deep,97
aware,deep,49
achieve,read,178
passion,study,77
mistakes,quite,13
ask,create,106
simple,understanding,30
carry,happy,15
physical,therapy,60
emotional,ever,135
completely,sign,12
likely,reduce,13
god,list,17
always,fit,85
opportunity,smile,12
insecure,literally,15
awkward,degree,3
interest,system,29
case,inner,15
difficult,say,91
real,see,204
awesome,come,21
first,party,54
hear,little,54
kind,meditation,86
opportunity,place,130
course,realize,139
fall,instead,123
conversation,two,130
already,type,65
cause,front,24
inner,set,25
conversation,run,62
power,run,63
angry,run,33
almost,word,68
completely,cycle,30
three,word,54
miss,notice,21
apply,stress,41
apply,type,33
repeat,sad,5
three,worried,9
calm,solve,4
active,calm,6
back,message,75
connect,spend,46
early,friend,88
build,example,213
appreciate,wrong,50
luck,sit,9
fear,number,28
attention,confident,47
attention,identify,27
clothes,failure,9
decide,wear,9
line,walking,9
identify,line,10
necessary,wear,6
appreciate,hobbies,14
career,consider,90
career,graduate,100
constant,never,44
although,money,51
living,succeed,29
rule,stop,51
achieve,friend,91
fact,keep,137
guy,sometimes,273
blame,thinking,51
fact,fault,20
blame,partner,15
sick,spend,36
rid,simple,19
read,stick,116
emotionally,yeah,2
clean,game,95
deep,fix,31
god,room,23
enough,kind,126
else,message,22
show,sort,55
answer,whatever,117
butt,pressure,37
add,young,29
continue,fit,19
either,large,19
say,somehow,34
happy,trust,50
partner,place,103
pain,whatever,82
cause,provide,64
alone,desire,47
fill,path,11
boundaries,recognize,10
individual,necessarily,7
admit,sort,7
computer,hand,19
play,save,58
hand,weight,41
easy,high,111
mentally,try,45
business,sleep,63
lift,sleep,50
require,two,91
rest,set,114
eat,reach,72
stick,weight,92
achieve,safe,11
opportunity,reach,52
safe,short,15
rest,safe,8
physical,workout,40
common,expect,16
diet,number,15
simple,social,62
current,pay,65
man,need,326
difference,need,78
perfect,should,69
part,waste,100
fun,quality,14
bring,degree,22
grateful,tell,47
choose,deal,115
emotion,honest,40
give,less,313
desire,either,57
order,stand,25
reason,throw,47
sorry,usually,17
act,honest,38
guy,literally,120
choose,thinking,208
away,deep,136
deal,personal,74
character,space,11
connect,first,36
connect,pretty,20
end,saying,115
luck,understanding,6
early,walking,21
finish,gym,33
grade,two,81
rid,two,23
online,seek,29
add,finally,32
somehow,understand,37
close,return,17
capable,happiness,9
country,saying,27
area,physical,57
place,similar,78
figure,meet,91
progress,real,85
energy,standard,17
common,figure,23
approach,hold,23
benefit,waste,41
difference,whether,26
perspective,respect,24
common,respect,14
difference,line,9
although,fully,9
fail,responsibility,41
avoid,personal,87
contact,major,34
rather,watch,93
clothes,however,14
add,cut,57
clothes,gain,3
living,walk,90
however,smoke,29
social,try,183
lonely,run,19
stick,weed,26
anymore,computer,21
depressed,sit,44
computer,couple,19
fun,hurt,57
car,mental,62
average,realize,37
accept,list,49
develop,head,65
develop,quality,30
need,setting,82
admit,cut,9
interested,phone,22
choose,long,126
deep,heart,46
tired,willing,7
identify,means,43
content,likely,10
drop,mom,27
define,fun,15
couple,sort,28
joke,least,12
city,motivation,11
always,writing,128
brain,struggle,98
aspect,improve,56
health,seek,99
gym,quit,92
muscle,result,66
quite,truly,33
eventually,sport,9
eventually,major,7
decision,spend,144
reply,tell,58
happiness,meal,8
back,save,103
grow,place,227
save,show,60
class,teach,97
diet,male,2
clear,tv,8
brother,grow,73
look,touch,29
answer,girl,93
confidence,gain,38
decided,number,18
angry,enjoy,38
pass,respect,15
area,feeling,82
hate,strong,79
child,rather,45
high,university,178
ever,mess,61
fact,task,60
brain,clear,66
depressed,train,9
example,notice,118
save,whatever,43
achieve,forward,72
business,dream,75
lesson,major,3
see,treat,76
develop,knowledgeable,91
support,teach,24
reason,simple,110
living,workout,14
fear,per,18
engage,realize,39
push,talk,115
continue,place,117
probably,several,29
ignore,watch,25
several,turn,35
play,wife,45
alcohol,however,29
full,mindset,30
prove,read,28
currently,position,19
routine,wear,18
lifestyle,read,45
fit,lifestyle,17
perhaps,whatever,43
belief,fight,28
add,feeling,73
great,information,52
individual,instead,42
useful,worth,23
connection,decision,24
huge,individual,6
include,require,31
joke,meet,46
say,super,75
hear,reply,23
alone,late,116
depressed,manage,24
delete,joke,6
car,relationship,54
balance,simple,15
away,behavior,98
effect,internet,11
deep,need,214
end,lesson,24
standard,study,14
base,late,35
stupid,understand,61
hit,kid,59
appreciate,rather,30
close,discover,13
music,term,28
affect,term,22
mother,relate,11
believe,order,137
human,spend,83
healthy,information,34
safe,slowly,3
attempt,face,28
hear,weight,38
account,decided,21
program,stress,22
cause,mine,17
ahead,look,31
easy,name,26
name,saying,46
couple,worry,21
college,woman,135
impossible,worth,15
feed,made,14
expectation,understand,44
home,training,46
hate,tv,27
challenge,living,50
expectation,success,30
come,consistently,20
long,true,103
guy,side,95
body,handle,35
fall,result,83
compare,result,75
compare,decision,27
key,tired,10
key,smart,3
consistently,smart,9
moment,plenty,17
belief,living,91
emotion,room,41
normal,soon,31
beautiful,normal,22
environment,normal,21
difficult,plenty,8
behavior,environment,50
awesome,remind,5
carry,important,32
deserve,mind,35
easy,soon,46
