node1_norm,node2_norm,weight
barely,place,35
computer,parent,62
language,run,37
certain,develop,91
business,research,34
individual,motivated,13
event,open,38
find,suck,56
see,standard,38
begin,couple,71
happiness,show,81
shit,sometimes,184
fuck,parent,277
parent,probably,211
instead,never,297
effort,money,156
healthy,speak,47
bed,effort,48
level,unhealthy,10
always,become,439
believe,last,232
follow,throw,28
fall,travel,12
perspective,willing,10
interest,move,104
give,growth,74
head,value,59
head,willing,19
apply,pain,37
anyone,realize,257
fuck,personal,59
read,working,114
base,social,60
least,sport,45
fun,left,46
joy,young,11
boring,joy,7
city,learn,39
lead,part,215
future,productive,53
actually,often,109
badly,often,74
mother,often,57
brother,mother,102
purpose,succeed,18
succeed,ultimately,5
side,whole,61
aware,back,76
eye,never,119
call,slow,36
leave,throw,39
hair,leave,23
bring,eye,47
bed,girlfriend,22
drive,hair,5
free,mind,126
free,space,42
count,rather,18
exist,open,28
drop,parent,65
computer,living,30
class,half,48
front,lost,19
body,smile,62
lead,stress,107
due,limit,12
agree,girl,44
find,meditation,114
book,constantly,62
say,walking,41
believe,see,360
instead,look,282
give,hang,59
figure,keep,156
girl,should,203
however,though,74
family,somewhere,31
kinda,play,53
build,fat,71
completely,drink,84
plan,together,112
name,see,67
book,understanding,111
college,relationship,144
everything,prepare,29
career,sometimes,83
note,understand,65
fear,often,226
complete,leave,31
concept,leave,9
afraid,project,19
away,decide,77
accept,wrong,192
music,support,19
fitness,true,8
information,sure,30
move,position,80
eye,repeat,17
appreciate,part,60
learn,schedule,59
quickly,set,25
identify,order,40
child,purpose,39
line,list,29
emotion,return,21
study,thought,165
basically,share,36
end,reach,100
event,period,12
learn,pretty,220
learn,zone,104
comfortable,interesting,24
history,interesting,14
fully,history,7
area,attitude,11
expect,move,74
play,woman,175
complete,struggle,37
highly,story,12
find,missing,25
attempt,great,26
thought,two,207
believe,solve,50
ability,moment,91
brain,level,184
decide,future,67
act,student,20
process,result,249
state,test,44
activity,exist,26
decide,program,14
smart,solution,10
health,physical,348
high,means,121
already,home,169
afraid,judge,54
build,tough,29
college,type,62
come,hit,97
fall,tell,152
dad,tell,206
move,pay,391
close,pretty,118
pretty,smoke,76
hear,together,48
blame,purpose,16
forward,say,64
clothes,ever,97
balance,long,22
high,tired,82
muscle,please,14
case,clothes,15
discipline,type,16
ass,society,2
place,plan,220
spend,tv,115
bring,plan,84
fact,worry,53
alone,comfort,48
dad,share,41
making,require,34
miss,pretty,38
accept,prove,34
fun,walk,66
miss,naturally,5
easy,food,139
therapy,wrong,95
made,waste,69
another,video,168
build,youtube,77
open,video,71
allow,simply,110
major,pass,13
able,living,268
able,car,130
big,house,163
living,project,40
afraid,desire,27
calm,should,26
several,write,30
early,walk,68
responsibility,sleep,25
cool,word,36
mom,understanding,14
resource,school,32
money,sex,113
smile,weight,7
ever,quality,67
hear,keep,130
pretty,skill,159
number,skill,49
possible,social,84
list,term,74
begin,rule,35
accomplish,rule,16
level,run,100
book,continue,105
important,risk,59
build,manage,71
environment,thinking,48
explore,wrong,19
benefit,often,85
computer,order,12
discover,school,37
key,realize,41
mental,possible,113
ability,develop,165
comfort,repeat,14
environment,exact,4
allow,great,153
student,thinking,60
identify,understand,65
answer,challenge,53
come,seem,154
emotional,long,83
last,seem,113
