node1_norm,node2_norm,weight
honestly,run,35
program,sign,8
home,pretty,246
group,sense,76
girl,move,325
call,understand,230
progress,response,20
butt,weight,135
drive,never,164
cut,tell,93
become,head,163
sometimes,waste,94
home,spend,444
friend,water,43
body,drive,56
cause,food,163
lose,parent,123
lose,waste,66
lose,unhealthy,27
fast,food,271
fast,quit,41
anyways,hurt,13
mom,recently,32
never,see,473
grade,see,69
anxiety,ever,381
happy,never,247
fun,kind,158
class,consider,69
deep,opinion,40
find,gym,165
listen,study,121
pick,value,56
push,recently,11
realize,write,226
interesting,watch,69
anxiety,tired,59
event,mental,57
anger,come,94
begin,great,125
man,reality,110
peace,speak,16
drop,peace,2
fill,lesson,7
great,level,103
fit,health,42
confidence,schedule,20
happy,reality,51
part,three,97
need,order,273
made,turn,148
play,sport,240
anxiety,poor,27
fuck,fun,144
call,least,130
fun,speak,84
badly,however,61
especially,poor,14
middle,sad,8
beat,extremely,9
sport,surround,5
play,search,23
easy,sleep,138
try,whole,173
see,whole,162
achieve,everything,147
man,walk,101
parent,smile,21
two,upset,42
car,fail,51
degree,room,14
dad,mother,123
great,none,10
true,whether,72
dream,rather,40
dream,space,19
attention,present,96
pretty,usually,115
plus,school,35
front,reason,40
develop,realize,148
prove,realize,45
create,depressed,37
energy,stress,123
anger,develop,25
fully,lack,12
continue,period,22
first,see,325
ever,figure,202
fat,keep,74
mind,play,170
enough,three,46
couple,though,28
drink,girl,116
figure,fuck,89
eye,saying,68
fat,hang,6
club,response,3
fat,natural,8
live,success,133
cause,decision,96
belief,future,128
lie,seem,23
deal,view,38
discover,test,13
activity,clean,51
become,career,119
everything,run,129
case,great,54
cut,great,38
remember,working,86
order,sometimes,84
event,remember,56
career,picture,12
program,support,35
community,note,16
program,respond,10
feeling,opinion,82
loss,tell,24
angry,happen,60
late,thought,158
doubt,present,19
diet,sort,15
instead,path,92
allow,imagine,53
picture,safe,4
schedule,spend,119
early,remember,78
set,three,82
accomplish,short,23
project,reduce,18
important,often,302
desire,parent,52
success,support,48
effect,productive,12
return,should,33
engage,thinking,74
give,plan,334
appreciate,feeling,59
body,meet,127
find,pursue,106
follow,lost,52
house,push,51
buy,dream,35
anyone,public,21
eye,sound,39
state,woman,64
strong,whatever,82
struggle,three,25
strong,three,39
important,video,184
become,related,35
generally,live,25
kid,thought,76
kind,sense,149
call,state,116
deal,fact,95
cut,deal,46
however,success,96
choose,full,47
ability,solve,18
grade,thinking,64
certain,never,110
teach,voice,35
drink,fail,54
always,anyone,364
away,judge,37
clear,tool,10
drop,interest,28
move,word,100
pay,stay,208
anyway,parent,61
describe,somehow,4
butt,notice,105
ass,give,33
balance,gym,16
face,type,61
possible,truth,37
fake,term,8
ass,forward,8
eye,fake,19
pick,training,23
give,sometimes,377
give,sort,95
hear,improve,49
moment,nice,67
prove,understand,25
effort,should,122
desire,making,44
deal,require,62
sense,young,66
list,move,114
conversation,write,102
base,guy,69
read,simply,102
average,made,21
discipline,share,16
average,interest,19
possible,result,101
decided,major,20
butt,media,86
heart,see,91
hate,live,208
happy,truly,150
somehow,watch,22
answer,least,79
early,future,53
means,state,73
course,thinking,154
muscle,should,56
stand,training,13
dad,keep,92
achieve,healthy,158
benefit,internet,22
money,prove,40
actually,drive,51
motivated,pick,15
money,walk,92
left,lose,58
dad,emotion,43
history,remember,31
child,word,85
event,word,45
allow,potential,43
attempt,failure,38
field,room,10
never,possible,166
passion,read,55
allow,improve,107
physical,realize,92
base,rather,56
discover,growth,14
attempt,difficult,15
diet,eat,418
dream,everything,89
lifestyle,stupid,4
student,therapy,20
need,woman,292
ex,stop,32
meet,sense,113
grow,tend,48
eventually,guess,29
important,increase,134
answer,return,22
consider,likely,81
large,personal,16
large,potential,15
come,voice,88
part,support,128
career,moment,76
able,talk,391
comfort,part,94
complete,happy,31
awkward,kid,25
allow,train,14
kill,plan,33
easy,talk,114
find,inner,66
first,repeat,47
great,reason,151
great,notice,79
cause,kind,191
ability,reason,89
believe,worried,17
opportunity,sound,55
option,remember,28
brain,often,148
cause,support,78
completely,failure,38
hand,word,68
ability,story,34
repeat,stress,19
space,support,30
entire,event,18
ask,immediately,29
normal,state,49
gain,guy,28
say,workout,35
end,strong,59
define,part,57
guy,useful,19
girl,respond,51
meet,useful,15
decide,whatever,90
early,weight,43
amount,fear,48
appreciate,result,22
away,therapist,61
emotional,therapist,49
back,meditation,93
hope,meditation,9
another,constant,25
fact,together,53
anyway,hurt,25
partner,weird,13
alone,finish,22
sad,seek,10
fit,student,12
fail,option,36
sit,story,71
amazing,community,17
experienced,study,14
dream,excuse,24
enough,meet,121
check,kind,65
attention,story,65
message,stress,14
anymore,should,73
allow,writing,94
pretty,treat,48
add,information,37
finally,forward,44
blame,healthy,26
blame,often,46
trouble,trust,10
pain,smoke,31
business,capable,8
respect,somehow,8
belief,loss,19
capable,truth,9
comfortable,social,87
chance,first,97
chance,living,53
however,space,32
admit,create,13
sure,turn,63
fill,overcome,9
head,succeed,26
build,seem,72
common,enjoy,41
less,mentally,25
common,deal,25
catch,fail,15
fitness,truly,13
excuse,short,14
fully,made,25
girl,power,48
exist,turn,32
