node1_norm,node2_norm,weight
clothes,school,53
understand,wear,28
clothes,fat,19
ever,fight,213
body,fast,122
body,kill,38
sad,track,3
rest,weight,70
always,school,719
butt,place,290
butt,motivation,128
instead,run,204
parent,two,205
difficult,guess,21
anyone,money,230
anyone,phone,90
almost,great,66
easily,state,19
attitude,business,15
anxiety,healthy,128
current,woman,36
achieve,class,77
smoke,tell,94
drive,tell,101
head,last,151
cut,stay,78
head,remember,139
remember,wake,89
fuck,weight,96
anyways,turn,16
drink,home,172
die,eat,56
drive,food,46
cut,smoke,63
happy,turn,103
anxiety,kind,189
horrible,remember,26
result,turn,112
pick,turn,78
opinion,worry,42
activity,difference,20
bed,gym,147
eating,gym,142
another,mental,175
another,pattern,52
anxiety,mental,309
fall,read,116
man,thought,214
desire,man,147
believe,happiness,207
peace,quickly,3
depression,setting,15
fuck,major,22
beat,tell,50
pain,read,69
middle,read,23
least,long,155
everything,surround,15
adult,game,57
high,instead,225
high,pretty,273
angry,show,66
age,sport,36
badly,speak,58
extremely,order,27
personal,tv,27
front,group,39
lift,lose,55
run,succeed,31
badly,sorry,37
aware,clear,28
however,look,137
come,often,303
part,slow,63
bed,two,169
return,two,40
pick,slow,17
due,wife,11
car,hang,26
angry,girlfriend,19
currently,thinking,48
exist,great,36
grow,mind,173
believe,space,49
growth,truth,14
peace,truth,25
growth,peace,14
face,future,80
recommend,share,28
school,test,223
less,mind,148
cause,develop,121
create,happiness,156
depression,process,67
develop,due,61
bear,butt,55
butt,limit,27
first,never,445
first,two,359
great,long,145
kid,though,73
fuck,ugly,72
couple,whole,53
club,whole,20
low,speak,59
esteem,face,31
story,ugly,12
begin,example,127
emotion,level,88
add,pattern,14
gain,hold,6
book,depression,188
activity,book,178
book,lesson,75
lesson,whatever,32
child,ever,174
job,leave,284
career,concept,16
note,support,33
afraid,community,17
note,respond,5
moment,worry,130
allow,google,16
fitness,need,45
become,notice,147
move,skill,138
job,try,262
happy,perspective,36
happy,safe,13
body,wish,57
instead,picture,36
benefit,happiness,44
accomplish,amount,30
desire,important,124
fine,means,32
find,process,197
ability,process,92
depression,desire,39
ability,act,51
human,move,77
high,path,87
basically,whether,19
however,require,67
case,comfortable,24
head,imagine,59
aware,imagine,20
job,kind,280
crazy,spend,34
kind,speak,133
bear,part,60
average,away,33
car,deal,44
sense,society,43
bring,specific,27
process,word,110
attempt,level,31
ability,pick,25
choice,solve,11
perhaps,side,14
ability,solution,37
back,succeed,46
present,send,16
everything,find,204
call,end,156
either,means,101
confidence,fact,88
complete,conversation,17
internet,tell,51
hold,stand,26
call,project,48
finally,head,59
anxiety,heres,30
possible,say,113
eye,high,92
fuck,gym,149
awesome,nice,16
ignore,wish,20
pick,set,98
ask,weird,53
fact,kill,40
hear,maintain,6
left,opportunity,32
fail,simple,83
comfort,mom,10
anyone,multiple,28
interesting,see,59
feeling,guy,272
deal,enough,73
thinking,walk,102
instead,miss,40
usually,write,100
exercise,health,267
learn,major,59
allow,book,161
believe,share,192
believe,interest,99
believe,leave,148
less,possible,128
already,major,35
allow,however,100
reduce,youtube,12
degree,power,8
increase,smart,17
smart,waking,4
average,three,17
read,success,109
job,media,75
fear,man,188
almost,big,161
heart,spend,59
enjoy,simple,102
hold,media,41
close,dream,61
begin,schedule,36
fix,remember,52
likely,look,76
boring,say,53
quality,research,19
game,guy,275
accomplish,real,34
completely,money,110
act,run,81
motivated,see,36
field,motivated,11
seem,truly,39
drink,hand,51
lose,reduce,36
free,wrong,71
failure,tool,17
imagine,jump,6
exist,find,63
mental,sometimes,171
growth,money,41
note,rather,21
develop,discover,25
base,zone,9
come,increase,70
big,boyfriend,40
boyfriend,top,8
ever,treat,130
should,whether,91
long,single,77
whether,woman,77
tend,treat,25
come,reduce,42
feeling,stand,42
individual,reason,58
accept,last,113
deep,water,36
similar,wrong,35
break,wake,87
fuck,future,133
mindset,should,88
comment,lose,25
away,check,79
always,fast,99
moment,never,262
become,helpful,40
anxiety,stop,186
little,sound,70
lead,little,46
helpful,understand,51
clearly,understand,38
personal,reason,129
character,least,27
often,solve,32
fast,moment,56
sad,sense,22
break,emotion,95
break,entire,27
almost,apply,68
catch,completely,23
front,kid,37
fall,party,17
fast,human,28
angry,helpful,12
helpful,wait,5
listen,look,104
average,improve,39
less,working,131
meet,respond,42
call,example,161
number,whatever,53
confidence,present,41
approach,challenge,47
close,instead,84
discipline,succeed,11
face,meet,141
attractive,fun,52
pick,rest,43
fault,relationship,31
easy,finish,34
explain,try,85
however,rid,16
already,regardless,20
family,friend,357
late,money,263
study,treat,53
answer,enough,89
place,possible,122
meet,reach,103
pay,possible,90
ask,free,93
connection,share,79
position,possible,34
add,reach,46
book,process,214
belief,happy,59
means,place,140
drug,high,126
create,truth,80
happiness,low,31
begin,mistakes,49
poor,provide,10
meditate,pass,12
affect,plus,4
confidence,forget,26
fight,likely,16
drive,notice,31
heart,test,24
stay,term,81
butt,personally,43
big,lift,56
add,enjoy,95
consistent,process,44
number,short,21
influence,tell,31
improve,listen,72
fat,improve,29
benefit,man,50
hold,hope,29
although,away,43
far,return,15
course,suppose,29
hobbies,lesson,6
build,lead,156
high,setting,36
long,stupid,42
friend,two,285
ability,plan,76
anxiety,hobby,22
often,stick,93
develop,improve,127
ask,mistakes,62
lose,wife,31
butt,eventually,133
couple,event,21
shit,support,54
create,honest,31
inner,need,77
first,hand,130
sad,seem,21
little,often,104
awkward,skill,73
early,understand,77
necessary,weight,19
bed,thought,112
heres,story,22
look,stay,205
come,message,65
lead,several,24
anyway,graduate,14
anxious,wake,24
relationship,somehow,25
believe,capable,70
badly,tv,13
suffer,uncomfortable,11
decide,discipline,14
company,growth,14
lack,voice,20
always,success,147
actually,almost,95
expect,set,69
send,weight,17
almost,complete,34
close,growth,23
catch,mentally,4
career,explain,16
difference,tell,52
act,exercise,64
begin,perfect,53
exist,expect,13
approach,willing,21
approach,average,15
attract,return,5
especially,far,52
job,movie,36
side,sure,26
family,truly,129
value,watch,92
rather,turn,83
activity,waste,77
activity,return,11
current,write,53
proud,realize,69
joke,two,34
ready,study,26
absolutely,successful,15
emotional,professional,34
expectation,give,85
amount,become,97
able,reach,142
believe,treat,119
play,treat,53
explain,fail,31
degree,none,10
country,extremely,26
family,setting,29
depressed,teach,16
give,passion,76
course,somewhere,11
activity,honestly,11
physical,thought,122
couple,fast,34
although,couple,22
forward,wife,10
truth,try,52
health,tell,161
depend,job,34
addiction,happen,27
enough,hit,45
gone,living,56
depend,listen,16
consider,leave,68
die,wait,19
call,comfort,48
deserve,relationship,73
due,far,47
dad,drop,25
alone,pass,42
keep,scared,51
feeling,interested,62
guy,trust,113
high,search,26
sport,truly,11
activity,system,52
activity,constant,13
consistent,constantly,15
happy,list,90
list,meal,52
ever,group,206
diet,worry,18
male,mom,13
app,edit,5
activity,partner,38
belief,wrong,110
college,dude,26
clean,dude,10
gain,look,29
career,girl,76
confident,set,38
number,touch,12
afraid,health,35
ask,relationship,160
end,yeah,30
meet,repeat,22
either,provide,25
difficult,heres,14
personality,response,11
carry,tend,13
carry,heres,9
conversation,drink,51
conversation,program,6
journey,story,87
current,progress,32
answer,reason,184
catch,study,26
buy,view,12
lose,tired,36
never,putting,59
kill,poor,16
making,power,43
means,touch,14
definitely,sit,21
definitely,touch,8
pretty,sex,106
pain,teach,48
currently,live,91
exercise,meaning,20
accomplish,easily,16
hang,relationship,48
cycle,video,37
eventually,making,31
guy,increase,31
physical,share,42
handle,lift,6
nobody,upset,9
child,city,8
age,completely,63
compare,meditate,6
heres,probably,32
date,little,62
date,happy,105
close,date,103
currently,two,60
leave,realize,145
addiction,video,128
ask,lack,65
find,waking,19
anxiety,confident,85
poor,stupid,8
joy,often,33
bed,useful,14
solve,task,21
early,perfect,23
already,lose,123
none,worth,13
sex,somewhere,11
doubt,great,25
family,regularly,19
exercise,practice,142
human,list,50
benefit,list,75
anxious,forget,18
case,enjoy,63
risk,share,31
common,lack,43
bother,improve,8
forever,write,13
continue,figure,42
hit,hold,22
middle,move,34
stay,type,51
lazy,stay,49
appreciate,future,38
basically,grade,53
absolutely,appreciate,8
grade,happiness,18
confidence,wonder,20
throw,wonder,9
natural,note,10
guide,run,22
challenge,exercising,12
literally,try,91
fail,message,20
decide,single,30
guess,important,46
angry,project,6
choice,relationship,96
fix,lead,42
anxious,drive,20
account,pay,76
always,boring,84
alcohol,boring,8
early,purpose,32
deserve,eventually,19
music,otherwise,5
butt,picture,45
almost,mindset,37
read,relationship,95
relationship,surround,13
teach,understand,126
grow,seriously,16
begin,broke,29
environment,expect,13
extra,order,12
desire,development,27
heres,online,11
information,interesting,34
long,prepare,26
grow,handle,35
suck,value,27
increase,true,47
energy,routine,92
increase,top,31
place,society,56
believe,room,77
belief,hate,50
behavior,choose,80
movie,room,20
lie,mother,29
accept,therapy,92
bring,tough,20
avoid,passion,16
open,usually,40
serious,support,9
country,fully,8
barely,made,31
exercising,little,9
admit,though,17
able,lift,33
enjoy,incredibly,22
money,ultimately,32
girl,lift,40
gym,pretty,110
deal,uncomfortable,34
food,hang,19
age,sort,30
begin,sex,30
apply,uncomfortable,9
lift,offer,6
pursue,somewhere,6
attract,impossible,3
mental,term,88
common,receive,12
begin,reduce,23
anymore,gain,13
cause,shame,39
free,god,36
child,gone,17
clean,great,58
dream,highly,12
half,mind,45
city,sometimes,46
anymore,main,10
meet,watch,144
date,support,51
middle,support,13
able,university,127
call,youtube,57
fill,google,9
putting,whatever,33
human,sleep,61
human,phone,24
great,message,24
book,god,77
anger,improve,14
believe,immediately,28
home,likely,41
immediately,share,22
energy,gain,19
allow,consider,93
conversation,likely,27
appreciate,movie,13
nature,writing,11
eye,god,27
proud,understanding,4
carry,proud,9
include,judge,7
judge,travel,2
immediately,movie,5
experienced,front,5
experienced,immediately,4
lose,please,67
fine,sense,48
explore,need,43
possible,talk,115
shower,suggestion,2
google,stay,13
drive,setting,12
practice,professional,67
career,require,57
game,similar,66
basically,personal,31
activity,version,19
response,word,45
natural,tend,11
decide,together,32
sick,straight,4
book,incredibly,24
consistent,example,44
finish,real,35
break,simple,52
complete,home,64
computer,easy,21
fitness,live,21
add,probably,77
path,sport,11
childhood,forget,6
another,feed,30
ignore,write,67
guide,memory,4
personal,tend,44
pay,thinking,189
account,thinking,23
fix,personal,21
certain,check,31
complete,necessary,18
last,struggle,131
badly,lack,44
late,treat,44
reply,watch,14
alone,prepare,19
google,order,8
find,pressure,40
little,train,15
deep,drug,35
grade,wear,12
car,environment,22
common,reason,66
entire,manage,20
drive,please,30
drive,short,18
lost,notice,51
currently,porn,10
catch,worth,13
difficult,regardless,11
aspect,save,12
lazy,physically,9
doubt,group,12
confidence,yeah,22
course,prove,25
lazy,process,12
finish,low,8
assume,cool,10
fully,kinda,8
affect,journaling,2
allow,constantly,66
move,trust,78
gym,individual,13
generally,identify,7
anyways,wrong,21
phone,remove,31
energy,means,106
achieve,ignore,35
laugh,sometimes,79
basically,voice,23
assume,socially,3
least,straight,15
consider,quickly,13
chance,opinion,21
influence,note,20
meaningful,read,25
productive,true,20
actively,second,10
although,tool,8
house,search,12
sort,system,22
search,space,3
example,music,67
challenge,cut,18
note,reason,47
game,pull,19
reflect,watch,18
example,quickly,43
leave,successful,33
beautiful,follow,18
joke,phone,9
continue,quickly,16
reduce,routine,29
area,reduce,21
reality,reduce,9
journal,method,30
finally,offer,20
attitude,ignore,9
order,win,34
hopefully,project,3
google,part,24
random,school,39
begin,putting,33
happen,incredibly,14
hold,incredibly,13
grateful,probably,25
genuinely,speak,17
offer,truly,31
party,provide,5
least,successful,57
field,success,33
mention,option,6
super,two,49
activity,already,78
