node1_norm,node2_norm,weight
high,school,2374
fun,last,154
list,nice,44
enjoy,grade,44
confidence,head,118
girl,type,127
confidence,lack,218
pay,school,550
badly,clean,30
give,lead,222
butt,home,344
butt,head,190
shit,talk,313
decided,spend,155
last,turn,222
eating,shit,84
food,unhealthy,83
butt,shouldnt,32
always,deep,156
age,woman,249
book,plan,265
close,watch,73
moment,perspective,81
field,hate,33
create,group,111
alone,whenever,23
exactly,first,65
conversation,living,40
major,worth,24
butt,poor,48
social,tell,161
pretty,tell,249
bring,read,102
long,pretty,169
plenty,working,12
boring,made,20
high,speak,129
kid,set,71
age,angry,21
badly,story,55
beat,deserve,11
effort,teach,41
realize,understand,321
improve,need,220
run,sleep,193
cycle,sleep,185
moving,waste,21
desire,long,91
account,play,45
aware,die,13
dark,professional,5
hear,say,282
hand,parent,85
home,side,66
back,two,429
hurt,party,19
kind,stop,153
everything,often,129
less,often,226
ask,house,104
hang,however,38
pick,side,32
fight,huge,25
brother,drive,21
car,hair,11
hang,throw,8
move,reason,240
feeling,system,64
body,mind,455
instead,limit,40
another,food,145
depressed,food,54
fully,simply,18
angry,prove,5
power,share,70
butt,say,519
give,little,187
come,late,313
club,should,19
become,kinda,27
away,esteem,27
play,whole,161
build,somewhere,16
ugly,write,15
couple,fuck,83
lost,low,55
natural,response,21
challenge,opportunity,94
emotional,meaning,34
add,deep,37
child,man,168
child,need,181
need,personality,74
great,support,66
prepare,saying,13
career,value,79
deal,feeling,262
decide,tell,86
support,though,39
deal,learn,261
allow,attention,79
path,show,70
activity,spend,269
meet,pattern,35
energy,result,106
impact,parent,16
country,lead,23
example,sort,55
anyone,area,55
apply,read,179
personal,sometimes,123
soon,throw,6
easy,track,44
ask,play,168
already,complete,49
history,whatever,13
city,find,48
front,kind,35
ability,great,101
great,related,25
generally,mind,19
kind,smart,72
believe,solution,68
away,brain,197
society,two,29
result,test,90
perhaps,result,23
concept,result,42
mom,physical,24
comment,hate,50
school,sleep,382
grow,pass,60
develop,fact,76
fun,gym,117
important,simple,164
call,pattern,33
allow,easily,26
ahead,hit,8
base,fail,45
see,shit,170
look,society,48
big,face,222
confidence,high,168
possible,word,75
human,type,32
discipline,ignore,7
least,smoke,52
apply,plan,98
close,find,124
kill,normal,24
journey,manage,33
grade,learn,126
long,reason,217
confident,long,48
home,regret,35
deal,desire,59
begin,decided,95
improve,rest,43
shit,skin,28
brain,stop,179
believe,therapy,131
grow,suggest,30
honest,suggest,16
honest,mistakes,26
hopefully,probably,15
hopefully,state,8
development,friend,9
health,walking,34
body,certain,109
university,video,47
assume,create,29
average,discipline,15
assume,doctor,9
project,see,49
grow,heart,73
heart,success,23
respect,walk,44
brother,funny,6
opportunity,train,14
man,nobody,74
muscle,try,52
likely,wear,14
achieve,close,74
brain,long,189
group,personal,81
real,rule,41
actually,project,34
kind,sit,106
create,knowledgeable,96
laugh,place,41
benefit,remember,59
child,present,35
develop,money,141
exact,rather,6
bear,possible,19
comfort,push,74
apply,build,98
apply,attempt,16
eventually,relationship,76
grow,throw,28
date,fun,196
emotionally,sex,23
quite,single,30
high,number,61
number,reduce,17
constant,process,20
male,show,28
girlfriend,text,18
able,socially,31
esteem,sleep,16
almost,physically,21
awkward,walk,12
game,understand,188
company,play,41
anymore,easy,33
anymore,important,56
catch,come,57
always,helpful,42
hold,talk,117
apply,seem,39
little,wrong,68
reality,reason,102
pretty,source,19
least,real,121
awesome,head,23
break,hear,43
course,solve,13
fast,strong,43
helpful,support,49
calm,support,15
entire,helpful,10
ability,reality,56
active,fast,9
awesome,power,8
view,wait,4
awesome,method,3
gain,pretty,19
girl,worth,114
body,lifestyle,64
away,respond,43
appreciate,dark,5
solve,wear,4
money,soon,97
although,top,7
girl,music,75
approach,face,47
due,little,30
broke,realize,57
training,two,48
fuck,test,38
course,throw,19
book,type,108
amazing,else,23
practice,saying,106
heart,hurt,64
free,sleep,94
okay,two,85
add,course,56
butt,open,134
desire,whatever,70
accept,recognize,57
allow,eating,57
somehow,trust,13
guide,path,30
respect,uncomfortable,13
lie,writing,25
living,quality,25
decision,worth,50
water,worry,25
eat,game,153
look,perspective,62
enjoy,win,60
content,name,19
excuse,give,72
believe,workout,35
amount,deal,46
send,stick,16
diet,truly,21
common,training,7
drive,improve,38
constantly,early,33
give,influence,51
alone,hope,51
respect,spend,58
free,less,97
benefit,energy,96
allow,figure,55
always,keep,424
especially,last,83
ahead,high,27
awesome,story,20
decent,left,9
naturally,thinking,34
information,major,8
ever,overcome,99
note,system,29
comfort,exist,16
anxious,guess,25
physical,shit,39
dream,say,84
party,usually,25
failure,repeat,16
guy,word,128
real,soon,54
company,pay,175
seek,show,53
light,simple,18
graduate,skill,46
add,motivation,62
reach,story,56
pressure,set,20
almost,interest,66
information,list,50
able,eating,108
belief,follow,113
discipline,sick,5
find,stick,162
close,made,99
anyone,explain,51
ass,woman,33
willing,wrong,44
notice,quality,22
knowledgeable,perspective,21
approach,difference,21
healthy,useful,26
anxiety,eating,70
deal,shitty,28
choice,contact,11
hate,stop,171
decide,place,54
study,successful,67
due,spend,122
live,meet,209
country,lonely,11
grow,making,61
another,lazy,53
eat,video,112
due,present,27
city,hate,48
country,full,18
admit,afraid,16
depression,read,103
movie,social,41
age,drive,40
feed,long,12
drink,live,99
enough,feed,20
health,normal,66
doctor,strong,12
drug,unfortunately,5
believe,missing,31
amazing,school,65
boyfriend,wrong,48
brother,feeling,49
leave,moment,95
find,scared,44
constant,leave,12
live,weight,61
lift,live,16
decision,notice,43
actual,simple,12
place,save,110
describe,place,23
describe,show,27
finally,sorry,17
diet,sorry,11
okay,relationship,135
low,seek,42
age,college,212
follow,wrong,116
hang,plan,37
age,catch,17
close,touch,26
eventually,view,17
social,whether,48
decision,fear,132
give,repeat,40
feeling,hate,204
feeling,specific,57
either,relationship,126
area,fact,34
share,yeah,16
bring,child,70
heres,rather,18
kid,yeah,28
generally,open,13
truth,working,13
left,living,111
male,recently,2
drink,man,99
left,man,117
home,perhaps,28
boyfriend,offer,10
alcohol,study,24
full,list,43
important,stress,176
energy,possible,86
add,tired,19
check,power,23
example,hear,77
reason,version,41
forward,stay,84
lead,travel,14
save,sit,29
mess,suck,11
awesome,grow,18
direction,interest,34
interest,see,100
interest,notice,44
online,play,153
beautiful,movie,11
alcohol,pretty,25
amount,field,17
position,value,37
aware,play,61
fit,sort,10
poor,tip,5
leave,response,18
proud,reason,42
butt,schedule,60
fake,friend,32
find,skin,29
reduce,working,22
hobbies,reduce,4
angry,interested,14
doubt,plan,24
require,usually,42
physical,worry,27
area,terrible,11
state,stick,67
balance,family,28
chance,purpose,19
deep,university,17
prove,write,34
standard,weight,21
prove,research,21
girl,opinion,74
hold,kinda,13
career,tell,92
close,video,59
mom,whole,84
business,lazy,15
ever,system,150
eating,kind,75
challenge,natural,15
fast,open,33
natural,safe,9
failure,likely,38
area,exercising,5
suppose,whatever,31
avoid,message,19
concept,seem,11
excuse,parent,51
important,shower,28
eventually,fit,16
program,therapy,33
aspect,potential,13
basically,writing,35
busy,regularly,3
path,stop,54
great,push,78
happy,zone,24
happy,miserable,47
big,sound,177
confident,course,35
case,include,33
case,miserable,9
catch,picture,9
feed,home,25
begin,extra,14
mother,order,20
however,source,30
first,simply,145
front,interesting,9
chance,feeling,74
easy,stick,99
study,top,59
comfort,plan,64
develop,emotion,129
decision,develop,84
eating,side,30
difference,eating,23
tired,touch,7
behavior,process,90
begin,plenty,11
belief,plenty,5
concept,repeat,10
low,position,20
consider,present,45
belief,explain,21
deserve,thought,87
fully,path,20
impossible,say,32
attract,stay,12
date,uncomfortable,24
impossible,pay,18
deal,deep,76
completely,exercising,9
middle,normal,20
exercising,teach,3
emotional,uncomfortable,21
degree,exercising,2
answer,anxious,17
consider,working,53
passion,understand,29
childhood,free,15
crazy,imagine,12
community,watch,49
app,truly,14
mom,working,41
schedule,school,109
huge,nobody,6
exact,give,23
save,three,28
enough,resource,12
carry,phone,7
grateful,look,38
circumstance,learn,54
likely,long,64
improve,show,115
full,improve,32
body,carry,41
identify,turn,40
practice,present,154
either,understanding,31
anymore,individual,6
amazing,dream,38
music,respect,14
decided,immediately,17
aware,guide,11
amazing,water,19
identify,lazy,12
front,individual,7
carry,identify,6
develop,whatever,89
literally,mindset,36
literally,mood,15
girlfriend,lately,7
actively,strength,5
random,sort,5
explain,great,40
rest,run,82
confidence,mistakes,63
quality,tend,15
example,explain,81
safe,text,5
butt,fine,70
top,weight,29
ass,failure,9
apply,sport,12
build,motivated,53
inner,motivated,9
explain,value,33
due,word,51
incredibly,sound,19
develop,partner,46
develop,task,85
room,try,95
assume,key,2
finish,friend,36
behavior,saying,67
adult,suppose,16
lack,late,74
answer,option,42
health,task,85
sit,trust,34
certain,reply,9
putting,tend,9
avoid,less,112
jump,watch,19
jump,limit,9
already,moving,49
important,surround,39
environment,water,24
develop,reality,49
healthy,impact,53
consistent,porn,10
likely,student,37
book,clothes,31
aspect,plan,33
remove,word,14
experienced,far,11
room,see,79
basically,great,44
assume,big,35
ask,low,45
ask,journaling,5
result,tend,49
cool,ton,17
challenge,sense,67
challenge,treat,31
amazing,living,47
afraid,course,39
gone,research,4
push,writing,39
deserve,sign,10
view,woman,176
age,sometimes,90
explore,learn,80
journal,mental,45
fall,information,22
huge,note,10
assume,energy,15
capable,two,30
important,straight,26
exist,general,11
home,mood,37
benefit,sure,39
provide,type,26
forward,unless,16
rid,throw,11
drop,exercise,17
add,maintain,26
challenge,maintain,34
fall,somehow,14
reason,reduce,30
soon,view,13
challenge,content,16
recommend,school,54
enough,successful,54
enjoy,sound,136
joke,set,14
anyway,create,33
break,general,20
attention,leave,55
journal,lead,20
failure,joke,4
successful,workout,15
beautiful,joke,5
beat,quickly,6
consistently,version,3
pull,quickly,2
money,response,25
child,search,10
man,poor,51
already,walking,27
rather,usually,36
extra,moving,4
tip,tool,18
sound,stick,57
begin,writing,74
note,teach,21
content,version,8
basic,sure,15
define,normal,12
turn,ugly,19
plenty,task,7
extra,method,3
course,pain,40
class,slowly,33
expect,wonder,15
shame,terrible,7
follow,hobby,17
expect,genuinely,6
fake,wonder,5
relax,tv,16
achieve,memory,26
regardless,talk,13
reason,recommend,65
act,case,58
mistakes,support,33
engage,simply,25
consider,manage,44
achieve,together,34
cold,thought,64
far,potential,25
source,truly,20
anxiety,whether,63
close,shame,13
choice,sit,48
happiness,suggest,27
meal,shame,6
ability,aspect,21
therapy,training,16
pass,plus,8
certain,okay,40
develop,meal,16
plenty,type,11
far,fight,37
completely,laugh,27
aspect,teach,11
already,unfortunately,15
key,reach,31
development,trust,17
unfortunately,writing,3
allow,little,46
serious,type,17
come,count,25
certainly,probably,20
health,top,49
count,health,22
brain,nice,52
easily,worth,10
incredibly,whole,19
certainly,free,7
connection,media,35
chance,tool,11
connection,meditate,6
memory,switch,4
afraid,listen,39
clear,process,68
deep,god,37
choice,imagine,26
successful,whatever,60
respect,university,7
emotional,keep,88
sad,top,5
anger,calm,32
grow,overcome,61
failure,tip,18
clean,constant,9
heres,imagine,14
fast,field,16
piece,sleep,30
anymore,meditate,4
position,similar,23
amazing,check,16
excuse,thinking,46
type,wake,15
explain,fact,44
marry,path,12
voice,young,34
class,imagine,31
entire,respect,16
reply,similar,8
attitude,open,20
behavior,emotional,105
expectation,professional,12
grow,standard,24
incredibly,shit,21
book,succeed,49
poor,writing,12
business,pick,46
doubt,remember,29
clean,realize,77
early,hit,36
quite,strength,6
hit,routine,35
die,force,34
actively,coffee,3
character,smart,12
happy,influence,15
professional,seriously,9
due,quite,47
kind,setting,35
remind,value,25
achieve,afraid,51
anxiety,hurt,70
carry,challenge,10
family,mood,24
grade,listen,27
figure,truth,24
prepare,three,20
plan,worried,13
childhood,purpose,9
afraid,truth,28
heres,nobody,6
lead,lost,61
first,meal,35
doctor,hobbies,6
teach,university,28
doctor,teach,10
hopefully,knowledgeable,6
absolutely,else,19
busy,mess,3
delete,necessary,4
busy,should,32
mine,term,10
cold,present,12
emotion,fake,25
believe,currently,51
moving,sense,25
opinion,present,26
allow,lost,47
adult,throw,8
throw,waste,17
part,peace,65
apps,great,14
per,schedule,27
left,skill,43
amount,depressed,19
continue,highly,6
attractive,basic,9
mental,prove,25
field,level,37
consistent,field,4
affect,generally,10
miss,tired,22
perhaps,tired,4
complete,willing,6
regret,value,26
lose,meditation,30
give,manage,93
computer,wear,6
practice,random,14
spend,suck,69
anxious,mess,14
tough,wake,6
book,cool,51
fake,show,38
cause,memory,51
answer,development,18
count,energy,19
base,normal,20
although,literally,16
anger,literally,9
human,number,22
constantly,language,20
multiple,pain,6
purpose,top,13
highly,pass,3
amazing,field,9
event,light,12
alcohol,event,8
bear,increase,9
connection,fulfil,15
although,unfortunately,7
exist,smile,4
memory,smile,8
field,per,5
doubt,fake,5
imagine,partner,28
inner,interesting,7
promise,scared,15
average,safe,4
childhood,struggle,29
need,resource,68
routine,shit,51
actually,discover,16
desire,pay,47
discover,quit,8
perfect,short,17
desire,suppose,16
otherwise,position,4
wish,worth,41
opinion,smile,11
extremely,note,9
excuse,highly,6
amazing,generally,5
hit,motivated,13
business,language,24
music,somehow,5
honestly,listen,30
return,several,8
regardless,try,20
made,waiting,6
instead,waiting,29
real,waiting,14
guess,quickly,9
mess,short,5
community,simple,16
community,soon,8
expect,moving,22
expect,struggled,3
forget,student,15
moving,respond,7
meaning,smart,4
cycle,discover,8
mother,university,30
genuinely,option,3
impact,leave,17
city,dad,22
child,hear,47
course,order,51
discover,room,4
adult,fat,8
city,constant,3
productive,struggle,36
avoid,standard,16
bunch,sport,5
shouldnt,watch,20
consistently,parent,9
bed,wish,21
ahead,kid,13
close,prove,11
anxious,bed,13
ahead,prove,1
seek,water,13
heart,therapy,15
badly,heart,25
difference,sex,19
decision,due,38
standard,thought,35
catch,mom,14
shitty,should,17
choose,drop,24
tell,worried,35
college,multiple,30
spend,train,30
power,train,11
clothes,productive,10
ahead,missing,2
heres,receive,6
lifestyle,text,5
train,waking,4
currently,look,32
adult,ass,10
caring,saying,16
mine,speak,12
brother,truly,10
beautiful,slowly,9
gone,send,11
brother,text,17
play,serious,32
motivated,nice,11
away,uncomfortable,41
leave,suffer,42
area,character,10
stop,university,29
book,calm,24
attitude,enough,11
stupid,though,27
explain,regret,8
attractive,easily,11
joke,ugly,11
crazy,follow,13
ass,interested,5
sex,super,18
sick,yeah,4
fight,lol,15
afraid,seriously,11
hope,reach,36
fix,try,109
difference,identify,10
broke,three,16
fit,suck,17
brother,seem,18
internet,yeah,9
come,lately,11
health,lately,9
ton,wake,8
idk,tv,9
overcome,parent,38
imagine,society,19
far,position,25
broke,mine,7
clearly,learn,24
moment,quite,51
answer,nature,21
limit,sex,9
history,perfect,9
base,voice,14
drive,effect,14
necessarily,seriously,1
bear,guide,7
mention,unless,2
abuse,house,24
happiness,university,14
human,prepare,13
development,low,14
prove,seek,11
field,method,6
imagine,shame,11
apply,explore,10
hobbies,suggest,20
healthy,lift,37
eating,overall,19
accept,awkward,38
addicted,weed,30
bunch,happy,7
anxiety,safe,42
early,fuck,55
boundaries,esteem,14
growth,nice,8
early,hobbies,22
hobbies,system,2
confident,suck,27
achieve,cold,23
meet,scared,84
barely,finally,20
exercising,meet,9
edit,kill,4
healthy,personally,25
healthy,naturally,23
boyfriend,true,15
awkward,usually,30
act,whenever,45
full,otherwise,4
