node1_norm,node2_norm,weight
feeling,number,1373
comfortable,woman,1212
strong,therapy,806
case,live,1186
country,deal,483
teach,unhealthy,93
insecure,stop,693
insecure,tv,66
regular,tv,139
build,success,1120
part,ton,1111
fault,great,774
job,top,2048
guy,personality,1900
connection,skill,893
short,story,2610
house,online,856
path,weight,602
fear,huge,774
consistent,meal,258
job,passion,1900
difficult,end,2053
class,hobby,745
healthy,try,4828
great,view,1426
happy,important,4375
stop,top,954
mental,state,2709
real,state,1320
necessary,parent,422
home,pick,723
college,country,1000
motivation,unhealthy,365
class,necessary,262
path,similar,1024
anyways,choice,244
interested,side,678
current,second,635
degree,strength,177
desire,push,353
country,internet,301
grateful,terrible,171
able,journey,1957
reason,trust,1618
friend,sort,1403
confidence,learn,2101
sort,terrible,391
need,try,2506
knowledgeable,order,564
natural,solution,295
house,try,2425
amount,big,1531
last,text,944
app,little,857
anyone,call,1874
male,social,1146
look,smart,1095
body,normal,1760
mental,normal,1539
energy,individual,425
dream,level,712
build,enough,528
business,single,654
productive,state,523
quick,stay,319
motivation,nobody,425
kind,serious,1111
anxiety,call,1144
seek,whole,425
notice,talk,1409
smart,tip,297
strong,talk,1625
last,perfect,1329
need,picture,317
emotional,none,264
human,job,1840
book,example,3905
book,sick,455
emotional,order,706
emotional,loss,269
account,hair,83
class,pay,775
drug,whole,703
dream,girlfriend,395
present,track,246
conversation,interesting,1540
field,home,676
little,rule,960
achieve,parent,429
drink,therapy,615
voice,weird,357
common,complete,283
achieve,common,249
certain,helpful,795
opinion,reality,687
opinion,waste,494
account,general,245
job,reality,1861
kind,read,4546
kind,zone,759
sound,zone,267
low,muscle,477
contact,diet,142
several,waste,218
talk,yeah,1632
addiction,talk,691
addiction,phone,842
education,relationship,754
mind,share,2169
area,mind,1890
progress,stop,1422
peace,response,229
energy,project,649
level,student,600
none,project,192
number,whole,740
low,talk,1687
smoke,talk,628
suggestion,talk,824
fight,last,959
mom,shit,997
energy,fear,938
cause,lose,382
pain,trust,657
effect,low,547
quit,super,290
happen,mom,193
heres,muscle,249
middle,unhealthy,99
act,plan,712
home,quick,574
realize,task,512
mind,stupid,1640
case,kind,2131
deep,home,1128
easy,fun,2085
fun,porn,488
fat,meet,249
attractive,porn,339
mom,reality,354
club,money,556
decision,learn,1465
example,pick,923
eat,high,973
luck,message,515
force,personal,669
act,simple,844
club,improve,257
complete,hold,320
perspective,pick,249
high,need,1128
part,result,2468
meditation,mental,1718
complete,video,747
awesome,free,453
conversation,version,349
improve,weird,418
moment,read,3198
important,little,4579
learn,lesson,1506
account,figure,287
perspective,understand,652
car,peace,215
impossible,sure,911
peace,skill,384
company,interest,657
chance,training,243
amount,project,465
act,drink,383
look,recommend,1277
look,resource,793
health,smoke,695
confidence,list,836
decent,sense,429
deep,exercise,904
likely,list,716
opportunity,stick,552
honest,straight,363
specific,willing,381
eat,schedule,509
clothes,society,142
awesome,clothes,127
video,worth,1400
kind,value,2214
lesson,power,390
top,useful,256
none,part,955
age,end,2126
home,line,708
chance,conversation,823
memory,personal,414
memory,share,383
fight,note,198
effect,man,823
full,waste,665
field,great,1180
family,talk,4488
able,young,2011
decent,guy,902
family,joy,741
game,pain,727
learn,smart,1054
anxiety,enough,656
parent,power,656
big,practice,1576
big,crazy,850
deserve,high,409
overcome,plan,408
interest,keep,424
boring,interest,736
age,language,556
comfortable,course,870
practice,sad,392
picture,term,443
fuck,plenty,306
angry,state,437
adult,child,1542
comfortable,truth,401
information,plenty,228
position,smart,244
lead,lesson,246
brother,lazy,169
crazy,picture,190
deserve,horrible,194
easy,human,1444
everything,solution,1620
amazing,moment,1022
luck,young,1332
deal,eye,647
choice,tv,305
adult,basic,264
order,suggestion,334
rid,worth,387
everything,number,1372
activity,present,623
belief,discipline,217
online,personal,1081
pay,youtube,443
drive,internet,278
mood,overall,343
fear,professional,468
quit,state,337
challenge,professional,438
professional,project,313
proud,video,654
capable,manage,129
important,piece,1082
exact,sense,370
degree,journey,453
amount,hold,404
lol,trust,431
source,suggestion,146
deep,emotion,1384
decision,stand,353
cold,opinion,229
enjoy,impact,272
accept,purpose,216
impact,inner,196
excuse,happy,840
coffee,happy,544
family,hobby,761
future,standard,394
standard,water,105
journal,trouble,133
learn,personality,943
anyone,eye,1520
common,nice,592
direction,kid,440
list,rule,501
aware,normal,799
number,sound,420
call,light,433
child,impact,264
dad,failure,314
hair,huge,300
degree,wife,202
common,number,371
dad,middle,299
light,pick,246
truth,whole,861
growth,live,718
joy,turn,279
difference,willing,354
boundaries,truth,193
pay,response,255
line,understanding,319
skill,wake,541
circumstance,lack,370
hate,quality,117
