node1_norm,node2_norm,weight
money,purpose,1270
front,mindset,259
progress,school,1462
look,unhealthy,587
healthy,value,1457
deal,progress,744
case,skin,248
cut,low,493
force,teach,271
clothes,picture,177
anyone,figure,1942
deserve,process,404
hobbies,improve,711
emotional,hobbies,450
guy,stand,721
deal,plan,1029
group,top,600
book,read,17148
exercise,healthy,3799
easy,job,4174
example,impossible,713
guy,social,5021
desire,waste,360
capable,little,769
exercise,girl,758
failure,girl,659
long,young,2143
training,walk,259
long,major,1173
area,class,793
okay,zone,328
school,view,858
able,stop,3924
boring,stop,521
certain,mental,1469
home,view,631
gym,ready,710
college,turn,866
leave,true,576
career,choice,1101
certain,pick,418
push,side,523
path,physical,613
physical,terrible,339
push,second,551
sign,waste,164
sign,view,198
anyways,leave,154
improve,opinion,655
honest,suck,439
individual,try,985
response,several,233
little,online,1918
game,music,1586
low,super,663
specific,wrong,904
energy,tool,475
business,normal,451
individual,smart,199
fact,hand,1212
fault,need,356
grateful,skill,438
deal,give,1306
information,recommend,322
front,grateful,166
serious,try,1319
relationship,result,1936
anyone,perfect,1510
confidence,mother,366
behavior,fit,202
anxiety,result,1371
try,walk,2154
book,sort,1600
account,clothes,119
business,lack,537
college,whole,1918
early,late,1020
hand,sure,1920
class,game,1640
face,woman,1398
look,muscle,1177
name,social,1037
mind,zone,953
move,voice,447
body,pick,716
character,high,421
figure,serious,470
read,response,1103
message,overall,183
friend,long,4167
buy,career,368
choice,yeah,530
dream,play,421
similar,version,437
case,desire,645
case,piece,482
kind,support,1614
information,online,579
degree,willing,377
media,skill,1064
media,spend,1066
attitude,last,532
impact,tend,153
conversation,track,252
great,shit,3307
community,girl,593
interested,last,1440
car,college,1149
ass,college,624
fear,turn,768
fear,nobody,551
drink,idk,232
ass,fine,330
alcohol,community,139
doctor,effect,493
process,training,451
journey,realize,966
expectation,trouble,127
fact,society,952
couple,girlfriend,644
easy,lose,734
mindset,need,697
confident,success,625
age,first,3775
mind,result,2945
girl,grade,896
luck,nice,1321
luck,personality,629
fun,trouble,477
age,horrible,399
kid,mindset,608
accept,kid,358
normal,personal,995
deal,mom,635
fat,main,216
anyways,judge,117
porn,read,1180
food,sure,2678
helpful,weight,572
food,live,1212
food,public,294
energy,text,333
fall,pick,335
discipline,responsibility,282
meditate,mine,136
level,serious,532
information,reason,1022
afraid,game,815
state,version,377
lose,weird,197
happy,truth,1327
desire,look,1194
enjoy,peace,440
content,pain,253
anger,truth,272
message,ton,186
impossible,skill,493
chance,impossible,361
eat,great,1374
pattern,stop,807
figure,perfect,758
figure,smoke,276
pattern,schedule,196
buy,conversation,247
free,high,1844
date,esteem,340
fault,half,193
effect,learn,820
behavior,value,860
loss,reality,234
anyone,exercise,1566
play,productive,528
consistent,home,474
consistent,stick,477
depression,realize,1071
depression,spend,816
personal,spend,946
impact,list,407
chance,face,786
character,professional,151
fight,treat,240
impact,test,177
respect,young,527
effect,first,1848
doubt,full,397
power,try,1879
shit,sport,592
sex,skill,613
media,parent,960
adult,future,783
fun,sport,1005
risk,word,336
fear,successful,620
conversation,enough,390
struggle,term,798
lesson,term,365
miserable,term,315
poor,single,383
late,second,455
confident,deserve,292
improve,poor,350
adult,comfortable,385
insecure,truth,222
crazy,information,200
angry,beat,202
lazy,major,216
field,major,368
lesson,overcome,210
childhood,quick,120
poor,quick,136
health,message,587
adult,moment,649
personal,risk,446
amazing,story,865
multiple,tv,135
main,quit,256
degree,game,892
degree,process,589
contact,girl,965
story,worth,1242
face,meditate,229
aware,rule,323
great,youtube,2387
moment,weight,1099
house,list,868
fall,present,382
room,tool,252
important,pattern,1053
anyone,hold,1169
appreciate,student,302
journey,responsibility,421
decision,grow,577
knowledgeable,tend,174
anyways,professional,122
potential,trust,419
respect,rest,449
porn,sleep,516
amount,relationship,1616
course,impact,505
dude,impact,60
piece,training,161
full,nature,466
grateful,trouble,139
big,rest,1398
aware,stupid,463
kid,rule,358
force,tip,391
piece,slow,188
family,reach,923
joy,last,599
give,pain,1101
difference,society,319
god,response,186
brother,willing,138
accept,insecure,185
adult,wake,279
anxious,mental,971
clothes,path,134
field,sick,110
big,multiple,638
break,information,525
active,share,315
share,unhealthy,215
country,inner,114
beautiful,unhealthy,112
pattern,piece,232
period,short,1094
order,stress,659
club,guy,794
friend,sign,568
energy,mindset,917
energy,rest,1152
case,simple,952
rest,short,943
shame,short,230
couple,esteem,309
eye,mindset,458
kinda,student,283
half,straight,344
club,doubt,86
anyways,quality,98
doubt,limit,160
level,voice,381
country,meet,545
amazing,fault,171
entire,name,299
tool,worth,545
personality,schedule,144
car,excuse,292
build,crazy,421
face,research,345
child,suck,416
order,zone,353
dream,program,313
suck,top,443
front,safe,182
manage,read,831
wake,water,1138
friendships,search,58
event,low,444
book,chance,1271
belief,mental,787
chance,eye,631
key,stand,200
trouble,truth,212
anxious,interested,339
difficult,realize,984
desire,option,385
manage,skill,630
need,text,278
field,useful,235
line,school,937
add,personal,385
knowledgeable,light,292
pain,sick,291
perspective,success,569
order,source,405
decent,read,670
health,sure,3412
low,main,485
course,miserable,459
brother,therapist,266
major,physical,404
improve,risk,235
behavior,middle,206
amazing,social,1512
due,lose,344
food,reality,638
anxiety,happen,613
happen,sure,995
cold,plenty,122
doubt,hope,304
comment,fuck,708
moment,none,601
possible,whole,1704
hate,reason,1089
energy,system,763
human,memory,405
due,share,731
alcohol,balance,150
enough,free,608
beautiful,family,901
