node1_norm,node2_norm,weight
hope,mindset,610
clothes,feeling,870
big,look,3530
depression,look,2098
body,number,937
country,value,408
journey,opinion,659
journey,unhealthy,293
clothes,cut,287
improve,pay,428
emotional,fit,253
mind,success,2059
present,seek,304
head,social,2887
stand,weight,277
fault,joke,140
horrible,long,772
nature,spend,414
emotional,healthy,1296
class,computer,598
depression,drug,934
group,suck,640
hold,suck,342
awesome,routine,219
bed,last,2155
addiction,leave,177
little,regret,880
afraid,long,1676
easy,failure,1122
attractive,easy,645
book,important,4347
consistent,look,686
bed,weight,945
bed,exercise,1712
meal,strength,155
consistent,text,104
consistent,meditate,211
common,whole,776
live,okay,1177
comfort,side,449
comfort,project,223
boring,relationship,585
great,learn,4719
grateful,great,1158
read,terrible,888
important,second,2033
grateful,important,728
class,stop,1288
high,pick,646
head,top,1135
motivation,true,944
attitude,practice,349
huge,motivation,795
heres,phone,467
certain,similar,1140
career,view,390
career,leave,413
necessary,second,446
interested,leave,329
degree,stick,447
push,waste,304
home,reason,2882
improve,little,1957
hope,little,2251
certain,education,323
lack,smart,470
long,several,1146
balance,interest,411
attitude,interest,347
give,house,1085
drug,lose,173
type,young,857
anyone,specific,1008
huge,position,437
home,male,628
education,normal,271
perfect,successful,569
dream,enough,391
dream,individual,273
car,challenge,260
schedule,stick,772
crazy,tool,127
place,respect,1208
mother,picture,154
understanding,woman,593
guy,human,1492
hair,university,118
move,part,3064
fun,long,2895
effort,sure,2533
brain,sure,2644
ass,manage,117
comfort,heres,274
first,hair,932
lead,social,1202
social,zone,1281
book,moment,2810
moment,rule,579
confidence,voice,642
date,name,295
child,grow,679
business,doubt,254
feeling,relate,1500
general,happy,1465
able,general,1809
effort,relate,351
reality,stupid,487
relate,sad,217
account,little,663
text,treat,161
deal,term,955
country,game,649
first,grateful,1216
fuck,sure,1984
community,guy,891
answer,anyone,1862
anyone,line,1016
place,show,1757
stop,version,811
kind,story,2225
college,consistent,339
bunch,great,938
computer,fuck,325
feeling,suggestion,1138
drive,try,1576
great,happen,1114
shit,suggestion,356
call,future,1030
food,stay,1094
bunch,energy,334
fear,pain,1137
fuck,name,450
call,support,685
idk,room,271
mom,proud,432
ass,turn,310
sad,unhealthy,158
fight,stupid,384
lose,nobody,183
cycle,lose,179
interested,rule,320
fear,journey,909
first,mindset,2759
able,stress,1758
first,judge,1249
horrible,woman,523
age,easy,1593
result,stupid,552
main,view,363
anyways,trouble,139
book,second,1959
future,second,1333
club,luck,532
phone,version,309
decision,second,925
decision,perfect,666
capable,version,182
meditate,program,112
happy,power,1335
busy,last,896
move,productive,590
deal,improve,702
god,great,1107
information,progress,510
happiness,lesson,376
feeling,interest,3159
course,mother,512
company,trouble,196
face,funny,406
emotion,general,776
happy,run,1014
benefit,friend,876
easy,recommend,1052
fuck,worth,1196
food,level,1228
head,society,554
figure,journal,384
fuck,pattern,226
cause,top,542
decent,drink,295
simple,willing,486
benefit,stick,524
individual,quality,225
common,conversation,911
possible,student,625
approach,esteem,172
couple,progress,849
direction,value,609
choose,path,702
force,reality,493
country,impossible,219
joke,sort,298
club,look,727
conversation,stick,444
read,successful,1429
childhood,kind,854
girl,smart,797
buy,family,816
learn,therapist,992
big,position,793
big,decent,622
enough,gym,527
average,plan,421
behavior,media,462
cause,conversation,712
confident,live,717
sex,struggle,390
story,term,889
car,story,647
cause,term,933
physical,term,1015
decision,grade,331
sad,simple,401
shame,struggle,286
awkward,show,260
brother,comfortable,211
poor,power,320
late,sad,291
effect,smart,257
effect,lead,410
content,enough,234
field,information,275
angry,plenty,133
field,grade,295
anger,miserable,171
anger,boring,67
boring,deserve,70
great,multiple,927
moment,money,2009
example,tv,715
adult,tired,296
lazy,solution,225
teach,text,140
approach,smoke,129
check,talk,1654
growth,order,445
meditation,space,484
meditation,search,320
meal,notice,199
rule,sorry,381
method,rule,228
lead,quality,242
big,offer,641
aware,present,921
offer,rule,159
home,period,841
couple,poor,317
check,effect,449
main,order,481
power,straight,290
individual,limit,174
open,weird,605
expectation,type,390
expectation,helpful,315
doctor,first,1381
anyone,okay,2116
choice,easy,1530
deep,hold,644
doctor,due,529
fault,rest,236
child,quit,235
brother,exact,104
appreciate,sleep,373
cycle,difficult,476
full,physical,829
journal,little,993
anxiety,memory,675
meaningful,result,353
decision,purpose,593
deal,impact,359
happen,uncomfortable,201
answer,lesson,404
system,video,695
angry,home,759
open,story,1072
parent,slow,433
home,sound,1085
home,uncomfortable,554
nice,number,615
comment,rule,371
aware,face,603
face,middle,311
rule,sound,336
memory,sound,324
tip,water,485
anger,huge,267
degree,name,289
force,slow,298
hair,number,165
clothes,direction,115
mental,peace,849
human,reach,493
happiness,teach,349
grow,joy,310
society,space,238
light,nature,339
group,improve,774
aspect,reality,473
name,trouble,196
poor,zone,112
source,try,1071
high,inner,374
brain,free,1499
ability,fact,1054
study,unhealthy,247
drug,stress,407
child,connection,373
child,natural,325
language,water,216
anger,top,184
event,nature,272
country,system,314
field,system,239
active,drug,183
fit,mind,864
effort,stress,736
look,short,2151
doubt,free,402
face,weight,892
eat,interest,376
age,natural,518
random,value,327
amount,sex,491
low,short,831
quality,uncomfortable,146
aspect,difference,363
direction,pattern,260
check,sort,567
check,growth,317
car,walk,470
exercise,meet,681
study,worth,958
fun,moment,1843
job,safe,852
connection,conversation,880
connection,trust,505
child,growth,326
check,cut,456
dream,heres,365
event,fix,276
grow,tool,255
connection,responsibility,210
active,project,186
entire,talk,1195
clear,purpose,649
friendships,video,286
story,watch,610
