node1_norm,node2_norm,weight
check,community,516
drive,keep,255
honest,relationship,2181
anyone,social,5547
similar,social,2833
anxiety,live,1571
fun,live,1543
force,journey,480
deal,heres,515
insecure,social,1014
happy,improve,1844
fat,water,418
track,understand,256
great,mess,915
funny,share,341
internet,mess,214
exercise,rid,345
little,male,785
decision,great,2120
happy,line,1090
middle,play,245
lack,potential,579
drive,happy,1223
girl,guy,7712
deep,end,1887
example,single,1415
internet,period,283
important,text,694
nice,young,1019
big,important,3428
passion,short,393
high,smart,1024
gym,read,3090
internet,read,1600
guy,learn,2338
place,terrible,965
gym,stop,2106
learn,waste,1188
country,learn,711
healthy,project,531
college,home,3054
head,waste,801
head,view,703
attitude,true,467
girlfriend,phone,346
ability,career,653
choice,girlfriend,297
desire,pick,235
current,program,305
heres,leave,274
boring,talk,1004
boring,look,646
confidence,story,1096
important,solution,1144
group,several,559
fuck,individual,273
certain,response,545
attitude,solution,193
face,money,1201
social,space,1045
give,man,2467
home,story,1704
happiness,job,1944
energy,research,506
build,meet,908
cycle,meet,278
emotional,enough,330
grateful,individual,144
interesting,list,671
little,woman,2769
confident,try,2327
due,happy,1794
willing,word,574
human,level,1080
beautiful,sort,333
awesome,development,118
internet,music,444
finish,little,859
couple,productive,561
notice,room,455
computer,room,436
class,community,1156
comfort,first,1804
eye,little,1852
last,therapy,2064
date,parent,800
confidence,deep,1073
case,create,392
leave,weird,318
clothes,current,198
drug,leave,224
comfort,complete,267
complete,rule,283
fun,standard,398
hope,relate,399
realize,sound,804
muscle,relationship,500
excuse,quality,148
appreciate,last,1071
business,talk,1194
ass,important,575
girlfriend,plan,507
addiction,open,332
play,yeah,379
reach,smart,221
read,shit,2774
difference,force,356
break,standard,265
response,show,467
chance,light,392
easy,personal,1748
sleep,student,520
progress,sort,702
interested,schedule,275
belief,character,221
talk,whole,2996
lose,shit,514
call,parent,1262
fun,path,795
fun,proud,642
call,food,858
emotion,yeah,528
drink,kid,645
fine,progress,575
drink,type,568
alcohol,smoke,615
lose,smoke,130
nice,sure,2755
deal,realize,1085
easy,parent,1715
difference,mind,1743
kind,turn,1533
family,free,2252
decision,effort,946
couple,responsibility,346
general,simple,661
responsibility,simple,380
force,message,217
club,eat,154
hobby,meal,212
push,text,167
anxiety,sure,3071
line,reason,1117
skill,state,981
pattern,realize,473
pattern,productive,267
desire,okay,555
grateful,okay,382
anger,pain,603
fall,heart,461
heart,truth,583
account,consistent,97
food,meaningful,250
peace,position,195
girlfriend,peace,133
interested,message,541
message,order,414
growth,healthy,812
journal,sense,477
run,value,422
sleep,tip,942
capable,decent,124
share,simple,805
free,half,783
early,emotional,369
ability,half,330
anyone,path,1503
choose,reality,403
aware,power,708
heart,term,552
internet,talk,1140
big,major,806
single,worth,1204
bunch,current,191
doubt,heres,192
anger,try,1108
plenty,relationship,995
book,sad,868
buy,man,715
gym,reason,2059
anxiety,company,607
front,parent,596
gym,spend,1036
future,term,1532
behavior,future,826
media,power,558
deserve,media,210
ability,live,922
room,sex,395
state,young,636
late,young,698
decision,emotional,736
decision,effect,513
call,mess,379
call,quick,290
comfortable,play,416
hand,society,432
angry,hand,417
miserable,successful,297
truth,waste,336
joy,major,145
deal,moment,1617
level,potential,729
eye,message,369
appreciate,knowledgeable,306
general,present,414
easy,moment,2435
moment,mood,660
easy,period,804
energy,overall,606
quality,serious,180
difficult,weird,492
give,happy,3157
deep,due,733
brother,sound,288
exact,understand,262
fall,light,492
act,body,1105
act,judge,378
important,poor,669
exercise,free,1476
behavior,terrible,319
emotion,first,3248
professional,rid,137
fun,notice,617
success,view,554
date,family,1110
afraid,smart,394
sorry,strong,879
aspect,big,759
fight,party,210
couple,rid,290
comment,try,2246
try,wife,702
party,sure,946
fuck,rule,370
attention,fight,383
attention,pick,445
comment,due,642
house,tip,506
eye,impact,273
everything,none,1358
human,mental,1426
result,society,528
pay,power,381
god,view,300
key,teach,297
nature,passion,167
offer,test,171
front,god,214
important,social,4664
activity,music,861
porn,space,144
adult,emotion,507
play,shape,256
head,lack,1091
current,future,1344
interest,online,1464
sorry,stay,891
schedule,stay,594
depression,physical,1183
opinion,process,776
connection,physical,566
active,state,304
due,peace,303
ability,environment,442
active,event,224
drug,nature,205
memory,natural,191
course,likely,1064
content,stress,306
computer,talk,631
look,uncomfortable,940
shame,worth,430
age,edit,309
energy,huge,915
class,period,500
attractive,process,354
bed,short,903
rest,story,798
movie,tip,273
personal,voice,437
cold,view,172
business,realize,541
inner,key,301
esteem,regret,174
deserve,esteem,242
company,okay,455
high,understanding,619
language,open,623
music,understanding,214
method,plenty,136
space,value,513
brain,head,1992
build,complete,614
cut,sort,433
check,major,360
huge,safe,262
fix,major,332
concept,project,214
account,anyone,663
cause,entire,513
rid,stick,237
actual,close,240
diet,simple,633
city,money,996
space,talk,1023
contact,notice,255
clear,line,462
conversation,youtube,516
practice,regular,530
overall,path,329
instagram,skill,239
house,long,2242
deep,last,1683
complete,name,211
