node1_norm,node2_norm,weight
high,relationship,3326
opinion,weight,576
case,kid,837
number,strong,370
single,social,2193
picture,stop,663
figure,waste,748
waste,water,269
head,talk,3193
fat,stand,118
close,due,598
fix,plan,726
confident,video,715
enjoy,late,396
diet,spend,443
tired,try,1999
movie,open,415
first,suggestion,1252
clear,path,947
healthy,necessary,715
gym,sleep,1575
area,major,449
computer,try,1025
happy,sign,572
place,second,2037
high,motivation,1631
rest,sense,1036
certain,head,1162
anyways,certain,289
anyways,state,257
ability,hope,501
degree,huge,549
country,degree,631
desire,stick,357
ability,computer,216
share,tool,391
drink,talk,1329
keep,look,890
hope,mind,2281
give,sense,1998
read,shouldnt,1039
drink,free,998
home,straight,857
short,sorry,939
confident,direction,328
energy,job,2545
job,research,1207
success,try,2203
example,inner,594
active,attention,329
stay,woman,923
anyone,emotion,1894
confidence,last,2015
confidence,home,1408
current,emotional,505
date,result,513
happy,whole,3117
due,university,811
order,sick,228
fix,long,1600
fix,mood,275
busy,home,909
edit,weight,300
social,tired,1506
part,perfect,1807
girl,perfect,1128
able,grow,1366
body,push,1131
hair,stop,506
learn,peace,773
case,name,442
deep,peace,546
achieve,comfort,275
pick,therapy,357
general,read,1901
friend,waste,830
character,friend,610
character,couple,238
current,relate,234
energy,eye,696
area,male,263
personality,specific,365
crazy,mine,236
activity,grade,308
light,willing,237
belief,personal,953
ass,money,821
call,happiness,522
path,reach,579
family,short,1725
guy,truth,993
anyone,present,997
body,space,809
break,meaningful,276
project,tired,292
guy,support,1001
energy,interested,679
city,suggestion,158
girl,number,1068
drug,great,1115
body,super,1178
kid,wrong,1846
healthy,quit,744
fun,turn,848
lose,whole,529
emotion,proud,545
personal,progress,1294
personal,turn,736
open,quit,320
fight,open,429
lose,open,315
lose,progress,438
fight,type,401
house,sad,620
call,tired,501
community,sad,238
community,effect,273
nobody,smoke,156
ass,smoke,183
effort,trust,773
easy,improve,1222
close,emotional,449
free,second,1197
age,normal,1551
mess,normal,432
deal,stupid,688
case,trouble,383
grade,turn,321
judge,main,181
average,mess,156
bunch,trouble,112
fact,read,2785
learn,sure,3717
example,perfect,1391
fall,luck,815
hobby,value,392
class,track,448
meditate,routine,566
discipline,hold,222
helpful,interested,562
result,video,1198
behavior,productive,335
real,success,1358
future,perspective,987
future,god,646
anger,sleep,241
wake,willing,219
consistent,desire,208
account,rule,154
present,relationship,1380
chance,video,808
edit,pain,176
attitude,shitty,153
impact,strong,344
benefit,talk,1157
