node1_norm,node2_norm,weight
low,woman,1238
country,look,902
country,therapy,490
first,understand,2529
great,understand,1794
content,single,470
emotional,sad,595
alcohol,comfort,154
comment,family,1231
family,standard,535
food,general,803
fact,weight,1113
first,list,3154
amount,video,1301
drink,nice,880
hobbies,nature,364
long,proud,1496
difficult,emotional,861
confident,drive,367
plan,university,686
exercise,weight,2717
book,music,1720
level,woman,1362
college,online,1592
date,state,423
date,suggestion,192
health,long,3617
meal,sleep,696
journey,meal,294
able,big,3570
fall,happy,1390
future,opinion,859
certain,end,1917
mental,stick,1010
degree,similar,766
ability,rest,547
girlfriend,hope,378
desire,terrible,206
country,waste,342
country,view,264
force,internet,303
ready,ton,261
anyone,trust,1842
full,guy,1525
knowledgeable,sense,875
interest,order,867
attitude,general,328
knowledgeable,note,401
little,willing,1145
amount,body,1797
awkward,food,162
character,possible,387
kid,wife,1201
computer,straight,173
boring,sad,221
individual,mental,730
easy,happiness,1228
easy,stay,1402
result,smart,518
enough,smart,270
keep,mental,666
call,comfortable,577
check,serious,350
chance,trouble,303
crazy,wrong,863
friendships,mood,88
example,specific,1738
job,open,2372
beautiful,try,1224
example,hair,421
hair,stupid,216
approach,hair,133
term,useful,488
end,health,2607
leave,society,242
fun,task,814
lazy,water,228
busy,early,309
depression,sense,1433
depression,girlfriend,606
field,school,1467
cycle,kid,374
field,sorry,363
amount,rid,360
doubt,house,246
hair,peace,101
effort,great,2870
hope,plan,894
account,ton,170
area,family,1389
personality,wrong,1256
diet,realize,349
excuse,realize,488
account,improve,221
contact,waste,187
amount,current,672
big,term,1598
cold,reality,301
addiction,business,189
suggestion,watch,217
look,public,777
college,public,512
major,regret,252
key,offer,242
mindset,suck,506
meaningful,mind,735
achieve,share,370
achieve,community,203
long,teach,933
city,progress,205
girl,interesting,1123
spend,stay,675
knowledgeable,poor,261
number,student,299
connection,text,251
emotion,read,1933
talk,water,777
low,money,1430
girl,pain,767
emotion,place,2065
future,type,1125
future,turn,1027
effect,fun,511
interested,personal,977
car,fuck,608
fuck,turn,644
pain,strong,905
stay,super,539
alcohol,turn,229
drug,stupid,379
effect,mom,179
cycle,mom,193
read,trouble,807
long,realize,2490
confident,state,556
difference,family,888
anxiety,stupid,916
dad,hobbies,258
personality,porn,229
difference,mess,227
read,study,2706
mine,sure,1165
act,money,902
hobby,money,998
learn,luck,2216
gym,porn,841
future,version,794
complete,plan,803
course,food,1232
course,discipline,573
phone,simple,882
hobby,phone,455
improve,simple,802
helpful,responsibility,306
act,pick,329
male,responsibility,136
male,offer,139
desire,trouble,198
real,result,1623
complete,deal,489
interesting,realize,571
failure,look,1369
moment,seek,615
journey,order,824
failure,reality,745
grateful,understand,290
desire,god,343
god,information,178
poor,relationship,880
music,pain,354
first,schedule,1685
awesome,body,536
food,likely,870
individual,practice,554
pattern,room,288
meet,possible,1021
phone,share,652
break,possible,1368
approach,possible,707
behavior,everything,1642
last,study,2001
tip,turn,522
passion,place,836
face,passion,263
coffee,stick,243
half,treat,223
memory,passion,118
major,parent,782
practice,walk,704
porn,run,220
failure,health,821
effect,full,539
crazy,try,1255
man,risk,590
age,learn,1950
learn,tv,634
angry,big,653
easy,position,745
brain,therapist,921
fun,struggle,802
fun,hand,931
picture,plan,491
practice,smart,445
brother,kid,696
conversation,position,437
cause,sex,688
sport,story,447
emotional,fuck,547
order,struggle,668
enough,struggle,431
show,sport,386
child,miserable,303
comfortable,mess,276
behavior,insecure,300
business,front,302
ability,room,450
field,successful,471
grade,language,308
position,risk,202
awkward,grade,189
crazy,deserve,159
awesome,lesson,149
childhood,field,148
awesome,poor,103
example,potential,864
amazing,text,201
early,message,219
lead,multiple,218
find,top,194
comment,social,2025
angry,sorry,680
home,keep,666
sort,space,429
motivation,track,794
activity,job,1822
environment,job,1549
college,discipline,547
front,study,372
friend,period,732
drive,fall,402
growth,professional,382
professional,zone,164
individual,second,363
difficult,whole,1293
easy,expectation,671
family,whole,2812
open,understand,865
mother,rest,302
crazy,hold,218
awkward,real,496
confidence,deal,1045
energy,inner,466
deal,share,837
deal,peace,463
bed,notice,462
approach,knowledgeable,369
inner,moment,771
accept,human,551
comfortable,stand,302
stand,uncomfortable,185
training,whole,458
drug,major,274
cold,struggle,295
feeling,tough,1776
group,hair,247
attention,room,730
single,wife,343
degree,trust,384
degree,direction,487
common,dad,168
girlfriend,name,215
learn,mother,528
passion,result,401
growth,human,587
difference,joy,239
grow,teach,311
boundaries,grow,208
brother,response,144
brother,reach,148
deal,safe,404
aware,safe,305
aspect,group,489
meditation,suggestion,401
anxious,first,1724
last,multiple,933
college,weird,801
path,stand,291
computer,understanding,133
gym,whole,1491
feeling,random,1173
balance,friend,476
connection,deal,457
environment,stress,482
fight,pattern,244
active,source,134
achieve,approach,297
stupid,tend,193
none,sex,322
answer,club,256
level,movie,387
attractive,male,516
approach,give,761
live,shape,465
confident,failure,476
car,opportunity,545
number,reality,395
aspect,belief,365
approach,home,491
healthy,late,602
future,run,702
cause,note,464
certain,dream,542
close,concept,125
online,stay,705
message,stop,743
comment,emotional,557
belief,space,230
message,notice,257
message,space,247
confidence,family,1620
passion,research,195
leave,type,479
number,read,1217
regular,video,389
position,true,567
number,overall,252
free,media,1311
nobody,trust,495
improve,quick,303
interesting,reason,1221
conversation,productive,281
society,worth,745
pattern,respect,219
resource,stick,270
phone,process,723
fine,productive,381
language,talk,1391
plan,struggle,853
order,smart,341
face,show,853
general,moment,1026
information,weight,408
piece,straight,237
achieve,type,360
bed,struggle,814
teach,water,194
girlfriend,memory,176
direction,uncomfortable,197
free,progress,1134
smoke,track,202
event,physical,511
face,random,367
free,strong,922
answer,group,865
happen,weird,237
kinda,random,304
approach,car,203
fault,regret,161
exercise,kind,1994
exercise,kinda,391
country,helpful,198
fix,job,1773
conversation,quit,249
community,picture,201
connection,safe,252
