node1_norm,node2_norm,weight
front,relationship,825
learn,motivation,1528
opinion,social,2031
mind,real,4255
early,woman,744
anyone,real,3363
healthy,real,2188
country,healthy,520
big,fun,2064
average,big,743
country,fun,587
clothes,fun,466
fat,kid,465
live,toxic,695
early,strong,455
fight,skin,134
body,long,3964
anyone,student,1034
game,track,698
emotional,fat,137
content,spend,474
environment,personality,304
break,social,2542
funny,internet,207
plan,sleep,1285
lack,rid,267
mental,success,1185
drink,school,1302
nice,plan,1122
drink,weight,1356
job,true,2735
build,little,2509
exercise,reason,1725
interest,routine,555
college,last,3203
high,house,1504
couple,waste,548
afraid,little,1696
bed,book,2045
important,voice,734
attention,sleep,622
moment,smart,552
comfort,contact,235
fight,public,129
college,important,1762
important,ready,1112
interested,place,1627
home,learn,2021
learn,side,1464
comfortable,mental,1003
home,sign,433
gym,program,544
high,language,719
career,head,958
force,practice,740
certain,class,720
career,list,796
hope,second,740
state,unhealthy,263
interested,view,442
anyways,waste,203
internet,pick,239
project,push,288
able,online,1989
home,sure,3561
knowledgeable,need,440
due,skill,1276
face,practice,839
fact,meet,1145
energy,look,2052
build,car,580
great,serious,1140
therapy,willing,572
book,stop,3220
grateful,information,144
confidence,relationship,3069
behavior,home,662
anyone,reality,1474
act,therapist,471
lack,understanding,668
sure,walk,1367
approach,sure,1176
approach,word,624
high,suck,1082
pain,therapist,641
child,home,1466
child,motivation,440
class,notice,400
dream,girl,1005
brain,wrong,1916
grade,track,228
college,rid,312
amount,text,278
smart,tough,224
first,system,1719
move,therapy,1322
doubt,voice,237
stupid,ton,289
dad,kind,966
area,truth,421
practice,task,950
key,opportunity,563
stupid,tip,399
personal,ton,550
school,space,708
sense,truth,942
answer,attractive,411
mind,tough,1315
none,research,161
character,value,597
school,stay,1799
body,type,1777
water,wrong,604
healthy,personal,1896
cause,open,836
cause,unhealthy,356
happen,house,354
interested,middle,250
call,muscle,214
call,cycle,343
doctor,fine,394
stupid,water,195
suggestion,tired,223
proud,sick,194
name,turn,317
idk,suggestion,114
rule,skill,498
parent,realize,1289
single,teach,379
able,mindset,1867
look,stress,1378
grade,stay,352
balance,man,446
kind,try,6973
porn,school,788
fat,kind,659
family,parent,4730
luck,reality,786
attractive,random,260
bunch,fat,117
club,feeling,801
luck,money,1792
