node1_norm,node2_norm,weight
clothes,fat,6
always,school,138
butt,motivation,26
parent,two,99
difficult,guess,10
anyone,money,33
anyone,phone,6
anxiety,healthy,59
achieve,class,24
happy,turn,47
head,remember,66
horrible,remember,16
result,turn,50
pick,turn,28
anyways,turn,9
opinion,worry,24
activity,difference,11
eating,gym,42
bed,gym,31
fall,read,45
man,thought,30
desire,man,49
peace,quickly,2
depression,setting,8
least,long,60
pain,read,39
middle,read,11
everything,surround,6
high,pretty,119
angry,show,38
adult,game,21
badly,speak,26
age,sport,15
extremely,order,13
personal,tv,10
aware,clear,10
death,see,24
less,mind,61
cause,develop,61
create,happiness,70
depression,process,32
develop,due,32
bear,butt,23
butt,limit,6
however,look,72
first,two,139
great,long,64
almost,great,27
kid,though,40
fuck,weight,52
fuck,ugly,36
drink,home,58
low,speak,47
couple,whole,29
club,whole,8
story,ugly,7
drink,react,3
gain,hold,3
activity,book,55
judgement,open,7
become,notice,72
move,skill,61
fine,means,15
find,process,89
ability,process,42
ability,act,31
depression,desire,18
believe,happiness,54
however,require,31
case,comfortable,7
exist,great,14
bear,part,19
break,reaction,9
long,stupid,29
call,end,90
school,test,50
currently,thinking,8
either,means,49
first,never,151
confidence,fact,57
complete,conversation,6
internet,tell,18
quiet,read,8
hold,stand,15
call,project,24
finally,head,27
possible,say,41
ever,shy,11
clothes,school,12
fuck,gym,73
eye,high,35
body,wish,28
awesome,nice,9
ignore,wish,15
high,path,46
fact,kill,30
ask,weird,28
hear,maintain,5
left,opportunity,13
fail,simple,33
interesting,see,23
feeling,guy,55
deal,enough,40
thinking,walk,27
reaction,thinking,6
instead,miss,11
intention,worthy,5
butt,place,44
usually,write,33
useless,write,17
face,future,38
often,stick,35
completely,money,55
act,run,37
begin,news,11
seem,truly,23
condition,professional,6
allow,book,57
financial,play,5
create,financial,11
lose,reduce,9
allow,invest,4
child,ever,54
call,science,13
process,word,44
failure,tool,6
aware,imagine,8
imagine,jump,3
context,rich,2
friendship,trust,20
feeling,stand,25
shit,support,29
accept,last,61
head,last,68
deep,water,14
fuck,future,72
comment,lose,8
enjoy,simple,37
come,often,87
always,fast,27
first,hand,58
become,helpful,20
anxiety,stop,104
personal,reason,21
little,often,50
lead,little,27
instead,run,32
already,white,4
often,solve,19
conscious,value,13
character,least,15
fast,moment,21
sad,sense,13
break,emotion,35
