node1_norm,node2_norm,weight
finally,high,54
butt,degree,20
barely,great,2
either,head,44
anxiety,trouble,14
decided,first,82
course,girl,42
move,turn,104
deep,hair,8
age,see,61
anyways,parent,17
energy,find,63
meditate,push,3
desire,learn,61
forgive,man,21
least,throw,13
grateful,seek,7
growth,health,20
everything,word,65
deserve,social,17
age,spend,24
extremely,parent,44
game,show,92
play,plenty,10
base,food,18
grade,term,14
anger,couple,13
become,professional,19
mother,suppose,10
feeling,smile,19
realize,system,17
big,food,28
body,depressed,29
fully,sense,16
lack,top,10
achieve,affect,12
healing,usually,2
due,food,23
happiness,state,43
depressed,due,19
due,field,8
balance,due,4
club,come,13
become,weight,45
long,short,67
long,response,17
anyone,great,25
believe,kid,42
eye,though,16
anyone,girl,53
fuck,three,31
brother,write,15
late,luck,10
late,three,40
eye,short,17
drink,pull,3
pull,three,5
belief,career,9
factor,run,9
back,loss,18
learn,test,51
become,empathy,10
allow,skill,41
active,empathy,4
behavior,sometimes,54
amazing,short,3
amazing,zone,3
date,scared,29
girl,interested,106
force,great,24
another,history,6
play,struggle,50
free,play,77
build,find,127
gt,real,18
front,video,6
pass,try,36
already,stress,34
college,means,23
however,sorry,21
fail,grade,83
dad,missing,5
girlfriend,however,27
part,read,56
date,training,7
first,smoke,33
everything,plus,5
finally,parent,65
move,weed,20
pay,story,41
finally,forget,14
case,though,14
forward,probably,7
body,muscle,84
consider,win,17
consider,shy,5
human,society,77
notice,sorry,13
scared,term,7
rude,term,2
say,special,13
always,look,110
alone,special,8
large,study,11
behavior,hear,25
far,kill,15
basically,sorry,16
close,hang,26
condition,special,4
offer,show,25
missing,see,19
miss,speak,12
keep,shit,121
failure,talk,40
seem,useless,9
part,turn,56
conversation,shit,49
deserve,position,9
identify,several,4
lead,stick,35
power,sex,19
depression,real,60
everything,personal,37
core,everything,10
class,lack,38
create,opinion,38
cost,lose,11
safe,system,6
jump,long,8
child,happen,55
begin,growth,18
condition,view,6
explore,present,6
memory,stand,4
however,selfesteem,16
deep,feeling,114
family,part,65
attack,fall,7
begin,white,5
beautiful,tool,2
butt,forget,35
cycle,try,27
internal,see,12
great,human,64
conversation,great,30
option,reason,17
catch,reason,8
little,real,51
hand,realize,23
already,head,52
opportunity,two,35
fact,power,35
anymore,turn,56
fast,turn,28
anxiety,worried,15
conversation,moment,60
moment,story,58
course,sense,39
method,set,24
kid,solve,6
conversation,cycle,8
begin,catch,15
anymore,party,12
difficult,fast,13
fast,reality,5
helpful,opportunity,8
wait,worried,2
avoid,gym,18
college,sit,53
consider,emotional,30
consider,line,13
emotional,pursue,10
dream,romantic,2
lack,parent,57
dream,knowledgeable,14
constant,financial,2
progress,relationship,39
rather,single,23
music,rule,4
broke,perception,2
happy,upset,16
amount,plan,19
degree,usually,13
else,hold,37
always,handle,16
large,treat,6
mom,university,17
business,either,19
excuse,solution,17
happy,relationship,102
everything,painful,9
happy,painful,7
believe,else,51
believe,enjoy,48
instead,saying,15
low,often,48
alone,eating,19
future,perfectly,3
happiness,rather,40
allow,empty,9
belief,trust,23
class,handle,12
certain,desire,42
belief,eating,11
somehow,suffer,4
already,job,95
either,house,35
course,house,22
game,miserable,18
look,quality,13
key,tell,6
actually,knowledgeable,29
dream,sleep,36
average,notice,9
fair,notice,5
mindset,return,7
dream,suppose,10
benefit,honesty,2
honesty,standard,1
communication,quality,5
plan,whatever,57
attention,friend,45
notice,recognize,10
close,youtube,9
present,relate,1
allow,define,26
define,interest,9
define,list,16
read,remind,20
explain,play,25
afraid,stay,57
difference,okay,9
believe,remember,59
childhood,remember,14
attack,meditation,4
activity,money,33
happen,need,79
kind,living,37
die,little,21
marry,short,2
sister,usually,9
fail,totally,9
decided,whole,30
certain,insecure,13
opportunity,painful,4
moment,move,79
cycle,fuck,14
brain,tired,16
badly,man,38
girlfriend,treat,21
engage,kindness,4
direction,family,13
regard,wish,4
major,side,3
handle,ignore,5
remember,task,36
close,community,14
guilt,video,11
eating,fall,15
regret,socially,1
continue,girl,33
note,practice,28
list,routine,25
apps,phone,40
app,bed,3
depend,note,4
drink,reduce,4
drug,friend,16
none,somewhere,1
learn,method,43
cost,long,10
definitely,often,19
far,related,6
include,usually,10
benefit,method,12
already,strength,10
choice,eat,18
grow,made,80
spend,struggle,27
grow,mentally,20
environment,grow,48
family,risk,19
purpose,stay,36
difficult,excuse,14
case,manage,11
effect,forever,2
calling,reach,6
living,look,92
country,tell,21
figure,grade,15
appreciate,pretend,3
path,role,6
buy,keep,32
healthy,natural,23
eat,imagine,16
challenge,exercise,17
doubt,natural,4
bc,pay,17
choice,wake,12
movie,society,7
interest,watch,44
activity,keep,41
average,instead,9
real,watch,83
internet,news,3
increase,news,9
stop,win,36
area,case,11
constantly,couple,21
catch,confident,6
catch,zone,4
miserable,technique,1
mental,order,32
create,development,21
environment,face,13
choice,replace,6
child,extra,2
successful,tv,8
environment,extra,4
direction,room,2
explain,worthwhile,1
awareness,practice,18
awareness,bring,22
awareness,stress,9
brain,passion,10
choose,ever,80
create,tell,36
decision,school,36
accept,normal,30
badly,fully,14
end,result,54
completely,offer,17
god,honest,1
gone,sex,17
already,cool,21
fix,never,41
parent,sure,41
fix,money,42
cheating,stand,4
age,great,27
draw,important,3
create,million,5
group,school,98
core,reaction,3
man,never,81
insecure,physically,4
entire,happen,26
great,type,19
head,hold,53
ability,word,43
active,voice,2
miss,wait,3
college,effort,38
back,thinking,67
future,relationship,103
escape,future,12
boundaries,trouble,4
back,live,142
less,look,96
often,perspective,27
made,tired,21
keep,kind,42
alone,though,44
guy,weed,7
cheating,hate,8
apply,track,6
father,mind,13
free,practice,43
front,room,11
add,family,27
emotion,excuse,27
possible,reason,35
business,type,12
appreciate,country,4
already,wrong,22
fun,wrong,22
include,mindset,9
comfort,slowly,6
already,open,49
choice,hear,22
eat,fit,24
often,please,32
age,piece,13
age,discover,5
continue,nobody,14
fail,job,108
major,school,38
pursue,stay,20
class,unless,9
forward,shame,9
butt,music,21
another,ever,46
carry,mind,18
enough,guide,10
else,eye,33
improve,practice,62
improve,relax,3
god,part,24
music,part,17
away,send,12
another,awareness,6
increase,meet,13
enjoy,state,25
god,show,34
eating,either,19
circumstance,head,6
judge,meditation,14
amount,home,16
however,include,20
community,open,16
consider,writing,20
fun,nature,11
gain,personal,5
energy,guide,6
comfort,perfect,11
forgive,react,8
teach,view,15
gift,likely,4
society,therefore,8
movie,perspective,6
god,majority,4
available,proud,2
present,react,5
include,therefore,7
anger,send,6
forever,nature,3
empathy,front,4
rid,touch,2
accept,notice,46
example,extremely,24
mistake,stupid,17
affect,sleep,18
difference,emotional,13
aim,healthy,11
lazy,top,12
game,hurts,8
dream,sex,9
badly,pick,11
important,quit,11
clothes,college,14
behavior,girl,37
