node1_norm,node2_norm,weight
fun,low,23
example,rather,58
great,motivation,37
lose,run,58
badly,lazy,20
dream,event,12
back,paper,23
move,paper,24
effort,expect,32
couple,quite,7
couple,suck,7
couple,tldr,6
first,gt,30
definitely,head,15
consider,guess,21
effort,value,67
follow,study,53
bed,cost,5
become,progress,62
become,lesson,33
already,mind,89
least,thought,40
journey,thinking,18
fail,however,46
however,peace,14
desire,perspective,24
fit,please,8
please,setting,4
honesty,please,1
fit,system,9
fail,main,11
butt,fun,59
actually,angry,23
bring,spend,35
extremely,turn,27
deserve,poor,7
order,speak,32
extremely,word,17
beat,kid,22
effort,message,17
reflect,tv,1
amazing,basically,8
become,dark,17
experienced,position,2
accept,flaws,34
create,mind,120
mind,usually,33
cause,due,55
create,top,19
prove,stress,9
back,great,83
become,brother,25
happen,though,41
esteem,made,14
great,little,37
enough,play,63
enough,fat,13
home,kid,110
almost,kid,58
kid,natural,6
eye,luck,5
couple,figure,15
esteem,walking,3
accept,another,31
run,together,24
cause,handle,23
share,tell,73
comment,skill,18
paper,read,22
engage,process,15
begin,strength,23
ask,case,27
cycle,everything,15
great,state,30
history,play,12
circle,relationship,11
bring,member,8
butt,dad,41
grow,school,105
class,sleep,70
pass,sleep,23
leave,stop,54
away,give,50
information,main,11
first,lose,73
job,jump,11
family,lose,56
close,move,67
home,mistake,11
close,hear,36
begin,guess,23
car,weed,12
fun,learn,108
long,type,38
probably,though,13
notice,though,23
big,nice,19
high,wish,40
nice,wish,24
consider,truth,26
consider,society,31
case,fun,22
eye,term,12
eye,win,11
fit,seriously,2
seriously,win,7
need,plan,87
ever,relationship,100
large,remember,14
group,study,49
normal,speak,26
intention,try,18
ever,honest,12
almost,desire,21
club,prove,1
break,butt,46
place,shit,29
anger,harsh,3
increase,task,19
alone,suffer,34
differently,suffer,7
role,woman,24
free,show,58
act,eventually,25
ego,truly,29
single,throw,8
badly,mind,39
personal,success,40
emotion,powerful,25
cost,pay,32
bring,financial,7
ever,listen,66
child,often,64
context,order,6
benefit,drive,5
laugh,maintain,2
condition,memory,3
always,everything,128
individual,remember,31
job,literally,54
degree,fuck,38
certainly,root,1
course,weight,23
failure,stress,18
drop,eating,11
character,try,19
come,process,47
talk,value,94
ability,talk,32
damage,talk,6
great,remember,61
ability,thought,35
head,realize,39
ability,real,38
helpful,play,19
already,kid,53
hear,often,62
often,support,54
completely,event,12
figure,support,26
begin,source,15
miss,support,13
inner,type,7
dream,view,12
dream,three,17
sad,voice,4
miss,wonder,6
event,three,9
role,three,9
conscious,white,1
huge,made,24
improve,never,46
back,soon,46
become,motivated,32
failure,man,27
college,company,39
damn,push,3
die,failure,16
company,failure,10
girl,rather,54
almost,mirror,4
bed,come,23
broke,tell,43
soon,thinking,18
constant,meditation,4
find,making,35
actual,saying,3
community,sense,29
fix,forgive,10
important,live,52
course,fear,47
book,information,62
anyone,relationship,37
boundaries,reason,10
instead,single,17
opinion,probably,12
rather,saying,15
choose,upset,16
respect,word,50
rather,responsibility,22
lonely,rather,5
badly,lonely,7
drug,simply,15
guide,low,7
handle,lonely,2
quickly,wait,4
computer,move,15
healthy,usually,30
actually,energy,35
benefit,made,17
approach,big,14
big,loser,10
approach,enjoy,17
fair,often,7
healthy,key,17
alone,fair,3
act,figure,26
eye,fair,3
major,real,37
avoid,escape,11
journey,shitty,4
female,male,45
reality,state,36
allow,develop,58
piece,read,30
difference,fail,20
although,food,6
mental,terrible,15
fix,mom,13
keep,suddenly,12
enough,fire,9
doctor,probably,7
less,truth,48
pass,watch,27
drink,listen,25
willing,wonder,3
drug,wonder,9
doctor,drug,14
continue,single,15
create,mother,18
book,open,81
ton,whatever,11
outcome,read,8
girl,outcome,13
confidence,journey,21
answer,female,6
result,view,32
choice,respect,37
painful,water,4
easy,often,60
keep,regularly,15
cheat,constantly,6
huge,support,9
although,suck,3
almost,basic,8
interest,never,54
decision,differently,4
desire,direction,16
often,useful,32
process,share,39
per,share,7
handle,useful,4
average,weight,17
handle,simple,15
lift,test,3
context,training,5
far,rest,16
anger,guilt,13
app,seem,3
example,practice,57
bed,note,9
depend,routine,2
clean,hobbies,6
already,information,29
huge,value,16
ask,method,13
brain,physical,41
brain,suggest,20
doubt,far,6
energy,list,31
connection,energy,12
definitely,related,4
sit,worry,17
add,source,6
benefit,terrible,5
balance,opportunity,3
therapist,upset,12
money,university,65
bunch,pay,5
deep,lie,39
possible,space,13
knowledgeable,stand,13
hate,part,57
high,miserable,16
living,manage,16
happiness,music,13
find,natural,20
kind,worth,35
body,together,39
challenge,decision,30
definitely,side,10
dad,order,10
case,news,6
never,wrong,40
come,technique,11
eventually,fail,28
feeling,training,12
mind,successful,46
develop,full,26
develop,seriously,15
difficult,food,22
environment,expectation,6
job,purpose,33
passion,second,7
passion,win,10
judge,process,23
brain,putting,15
alive,become,12
accept,sister,14
fact,means,63
least,living,72
hear,list,29
path,usually,15
connect,serious,4
check,mind,18
choose,okay,58
road,treat,4
childhood,perfect,1
imagine,made,22
date,per,5
kid,pay,61
ever,gt,21
key,show,22
line,support,10
apply,party,7
begin,huge,12
sex,strangers,2
anyone,health,9
fair,keep,6
ass,everything,17
less,purpose,24
course,standard,8
internet,tired,6
