node1_norm,node2_norm,weight
computer,parent,27
language,run,17
certain,develop,48
event,open,16
course,paper,6
find,suck,27
see,standard,26
begin,couple,29
effort,money,80
healthy,speak,26
bed,effort,16
level,unhealthy,4
evil,great,13
follow,throw,13
fall,travel,6
perspective,willing,6
give,growth,22
head,value,38
head,willing,11
read,working,44
base,social,30
fuck,parent,163
least,sport,23
joy,young,6
fun,left,27
grade,teacher,49
boring,joy,2
purpose,succeed,7
succeed,ultimately,4
body,smile,21
lead,stress,50
due,limit,7
anger,reaction,17
agree,girl,24
find,meditation,48
book,constantly,21
believe,see,103
realise,see,14
figure,keep,78
however,though,41
family,somewhere,17
kinda,play,28
build,fat,18
completely,drink,28
react,somewhere,2
determine,write,16
plan,together,39
information,sure,12
move,position,23
eye,repeat,3
information,rude,2
emotion,return,11
study,thought,28
English,science,4
learn,pretty,89
learn,zone,52
comfortable,interesting,11
history,interesting,3
fully,history,5
area,attitude,4
play,woman,63
complete,struggle,12
highly,story,6
find,missing,13
completely,validation,9
high,means,56
already,home,72
afraid,judge,52
build,tough,14
come,hit,23
everything,mistake,19
move,pay,149
close,pretty,55
pretty,smoke,23
hear,together,27
blame,purpose,15
forward,say,18
clothes,ever,13
balance,long,8
read,shy,8
probably,rude,4
asshole,probably,3
high,tired,32
muscle,please,7
case,clothes,6
discipline,type,6
ass,society,2
bring,plan,26
fact,worry,33
constantly,speak,48
asshole,reason,5
making,require,18
miss,pretty,17
accept,prove,23
fun,walk,21
miss,naturally,2
several,write,13
early,walk,16
money,sex,59
pretty,skill,70
possible,social,32
level,run,36
badly,often,42
listen,perception,5
book,continue,44
build,manage,23
benefit,often,40
remember,rich,8
cool,word,17
free,space,17
computer,order,4
context,room,2
anywhere,tool,1
condition,history,3
gift,moment,8
living,project,14
high,insecurities,9
random,shit,15
come,seem,48
always,become,124
forget,talk,34
become,inner,44
thought,two,43
real,sad,23
true,whatever,68
ability,moment,37
run,true,51
brain,event,26
brain,catch,16
brain,mad,4
create,helpful,21
human,mad,5
difficult,fall,19
forget,wonder,5
voice,wonder,4
emotionally,move,19
career,course,29
emotional,path,9
romantic,suggest,2
skill,working,42
father,living,36
anymore,college,53
rule,two,29
date,rather,45
home,progress,19
soon,tell,33
hope,wife,7
meditation,second,7
bed,girlfriend,10
college,type,30
deep,food,20
heart,need,28
give,guide,21
feeling,path,49
part,perfectly,2
place,upset,10
place,tv,5
happiness,show,48
means,return,8
class,trust,20
express,pain,15
painful,single,5
provide,somehow,1
lonely,uncomfortable,1
capable,loss,1
guide,perfectly,2
class,eat,35
look,waste,45
keep,often,112
free,mind,69
actually,often,58
made,waste,34
allow,great,51
communication,play,13
expect,often,34
healthy,remember,59
exist,open,17
completely,influence,7
bring,eye,23
difference,figure,13
influence,waste,3
purpose,suppose,8
average,line,2
bullshit,common,2
although,standard,3
course,especially,29
avoid,choice,31
dream,intention,4
attention,try,74
asshole,block,1
emotional,require,12
list,often,52
define,personal,21
read,treat,27
believe,list,25
English,mom,10
back,suddenly,16
fear,unfortunately,6
die,hit,15
hit,wonder,10
unfortunately,wait,1
compare,feeling,69
health,physical,104
amazing,parent,23
develop,meet,60
relationship,seek,65
cheating,seek,5
clean,practice,12
stand,whole,11
painful,strength,2
asshole,personality,7
harm,long,7
happen,selfesteem,27
reaction,two,17
direction,keep,20
example,tldr,8
apply,knowledgeable,32
certainly,high,8
college,relationship,71
cheat,sleep,12
call,making,37
dream,family,80
eventually,regard,4
process,result,90
miss,push,7
class,last,95
compare,concept,4
mind,practice,97
social,socially,53
socially,sometimes,6
big,sort,14
far,productive,10
sort,stupid,8
poor,sort,2
father,routine,4
girl,ignore,45
phone,write,50
apps,quit,6
perhaps,routine,5
see,worth,65
learn,terrible,24
feeling,related,10
ask,long,58
easy,food,49
energy,family,46
body,regularly,8
ask,connection,18
definitely,include,6
doubt,food,7
extremely,list,12
information,limit,7
cost,effect,5
close,struggle,34
forget,lonely,6
important,risk,11
bring,stand,21
hold,putting,15
continue,properly,4
prove,putting,5
putting,standard,4
aware,back,37
either,part,41
extremely,hold,13
discover,school,8
attitude,whole,5
lazy,music,16
attitude,figure,8
healthy,set,60
system,workout,2
list,news,10
cold,learn,21
computer,follow,10
cold,youtube,6
accept,wrong,39
hold,working,29
area,working,20
accept,include,18
expectation,hate,16
home,successful,29
child,purpose,20
feed,raise,2
forward,worthwhile,1
happen,slow,8
hear,keep,67
read,support,16
live,soon,37
complain,live,20
aware,easy,12
country,least,19
case,country,8
influence,run,16
music,top,10
emotional,long,44
number,shit,18
cry,left,21
always,living,69
realize,somebody,15
cheat,enough,12
act,together,32
picture,woman,21
believe,last,54
decent,true,12
feedback,true,19
asshole,type,3
context,view,10
ever,insecurities,13
personal,thinking,24
catch,crazy,8
date,everything,41
attempt,suggestion,3
allow,simply,51
attract,keep,16
improve,less,43
fair,influence,3
fair,prefer,2
fear,often,131
drop,parent,31
brother,mother,57
number,skill,18
decided,extremely,13
slow,walk,9
certain,forget,16
simple,sleep,22
push,set,36
create,guilt,16
aware,confident,16
actually,female,5
body,related,10
chance,excuse,12
desire,opportunity,21
line,weight,12
image,lesson,3
increase,muscle,16
anyone,realize,21
country,stay,24
definitely,home,21
appreciate,career,9
decision,natural,17
die,happiness,23
child,choose,39
eat,teach,16
raise,tv,1
fully,part,13
alive,course,2
honestly,per,5
feedback,picture,1
move,shame,31
term,unless,5
forgive,try,24
comfort,give,37
eye,never,39
experienced,talk,12
anymore,long,72
body,else,52
else,energy,25
lead,part,53
appreciate,part,8
include,part,17
book,understanding,48
away,compassion,2
grow,often,94
enjoy,group,53
body,close,31
head,majority,4
belief,home,4
hurt,surprise,2
likely,share,14
group,word,40
create,society,46
available,kid,2
include,lazy,11
nature,personal,14
joy,notice,5
sit,teach,19
immediately,reach,8
list,perfect,49
culture,perfect,4
state,travel,3
carry,writing,4
perspective,present,19
individual,proud,6
amazing,immediately,5
empathy,music,3
majority,send,2
joy,react,5
connect,gift,3
immediately,relax,2
compassion,culture,3
soul,trick,1
confident,less,42
answer,become,80
answer,engage,8
computer,living,7
fear,talk,136
group,tip,9
list,reaction,7
reaction,response,21
ridiculous,set,2
reality,teacher,10
comment,ever,26
fix,real,30
lift,real,10
dude,least,8
level,top,16
broke,clean,3
guy,involved,5
another,image,4
fully,grow,16
account,cycle,2
look,waiting,9
appreciate,ask,26
brain,journey,25
happy,proud,21
parent,probably,35
fear,voice,38
ego,emotional,13
job,outcome,7
constant,path,6
realize,remove,4
place,plan,27
fall,mental,33
actually,single,33
basic,call,13
future,productive,14
completely,task,24
fun,yeah,10
state,test,17
chance,prove,11
room,simple,11
affect,suck,5
activity,room,14
fully,productive,3
amazing,move,15
comfortable,little,11
exact,judge,4
determine,judge,8
event,training,3
environment,exact,1
honest,last,13
dad,tell,73
able,car,21
college,ex,19
dad,receive,7
personal,wonderful,3
skill,valuable,22
media,putting,10
important,per,8
act,end,46
complain,end,9
easy,nice,16
consider,encourage,10
everybody,truly,10
complain,possible,10
encourage,personal,9
desire,three,14
however,interest,33
individual,motivated,8
actually,depressed,17
made,shame,19
expect,move,44
face,repeat,7
course,walk,13
expect,quit,14
repeat,walk,6
car,repeat,3
brain,level,51
practice,reward,20
reward,sit,9
show,side,54
already,treated,12
fact,throw,7
case,throw,10
discover,support,4
belief,discover,8
differently,truth,6
argue,discover,3
apply,weight,15
man,wake,10
lesson,poor,4
read,system,35
live,tend,19
happy,quality,11
big,gift,9
alone,suggest,11
strong,study,39
health,meal,15
meaningful,means,14
multiple,system,3
reduce,research,5
business,man,33
comment,great,13
ability,develop,66
public,quit,4
become,finally,54
follow,space,11
become,quality,25
kill,write,16
act,image,13
listen,picture,9
awareness,behavior,24
require,valuable,5
anyway,depression,13
mistakes,please,31
afraid,desire,16
fall,zone,7
buy,girlfriend,13
fast,sure,10
practice,worthwhile,3
circle,probably,4
circumstance,example,18
skill,subject,10
apply,leave,23
back,million,9
express,million,2
anger,reason,16
difficult,saying,12
generally,opinion,12
depressed,possible,15
calm,depressed,2
phone,sad,8
emotional,quite,15
approach,create,29
mistake,tip,6
view,whether,18
contact,piece,3
set,technique,14
choose,lifestyle,15
line,list,15
entire,high,43
fear,responsible,9
somehow,whether,3
behavior,means,35
conversation,passion,7
draw,strong,4
confident,pass,10
another,video,26
girlfriend,hate,44
free,move,43
incredibly,pay,9
mother,often,31
afraid,project,8
lift,zone,1
fit,real,22
lesson,smart,5
search,simply,10
home,totally,9
confident,real,40
enjoy,pick,35
almost,influence,5
grow,phone,25
save,sleep,17
interest,move,39
dad,explain,13
mind,resource,14
happy,real,51
student,thinking,9
means,student,15
impact,run,5
case,rest,13
compare,three,6
happiness,resource,2
anger,note,7
hide,real,17
behavior,truly,22
deep,fake,8
heres,wear,9
full,several,2
maintain,phone,3
awkward,either,19
current,trust,8
else,lose,36
ever,quality,16
enjoy,factor,9
decide,future,31
create,lie,40
leave,rest,17
attention,lose,35
nature,require,7
anyone,fix,13
belief,solution,16
provide,teacher,6
left,rather,18
human,reaction,14
tell,text,42
career,sometimes,9
friend,mistake,13
friendships,stay,10
friendships,mistake,2
bunch,friendship,2
agree,value,22
outcome,perception,3
achievement,reach,10
always,currently,17
lose,speak,43
cycle,sell,5
find,resource,15
accept,lie,50
attractive,come,21
come,potential,22
environment,thinking,14
adhd,thinking,5
front,lost,11
aspect,low,8
state,technique,12
due,miss,10
anger,perhaps,6
ever,responsibility,25
important,regardless,15
motivation,news,5
regardless,whether,9
business,research,11
courage,motivated,3
extreme,potential,5
accomplish,extreme,3
passion,regardless,2
