node1_norm,node2_norm,weight
honestly,run,14
program,sign,4
group,sense,45
girl,move,149
conversation,friendship,24
progress,response,11
grade,see,39
anxiety,ever,110
class,consider,31
deep,opinion,31
find,gym,64
pick,value,34
listen,study,39
push,recently,7
man,reality,48
begin,great,58
peace,speak,13
drop,peace,2
fill,lesson,6
great,level,37
confidence,schedule,5
fit,health,15
need,order,73
made,turn,72
fuck,fun,81
play,sport,84
call,least,72
anxiety,poor,11
fun,speak,50
badly,however,31
empty,word,10
especially,poor,9
beat,extremely,5
middle,sad,4
sport,surround,3
plenty,teacher,4
father,remember,37
achieve,everything,66
develop,realize,29
prove,realize,16
cause,food,66
create,depressed,21
fully,lack,9
energy,stress,41
anger,develop,18
butt,weight,28
first,see,156
see,whole,89
fat,keep,27
mind,play,81
made,react,8
enough,three,22
couple,though,15
drink,girl,55
figure,fuck,53
home,pretty,92
face,realise,8
club,response,2
fat,hang,4
fat,natural,2
activity,clean,12
feeling,opinion,57
angry,happen,34
decide,ego,9
eye,saying,17
diet,sort,6
find,pursue,28
happy,never,80
follow,lost,22
house,push,21
buy,dream,14
able,bullshit,2
state,woman,25
part,three,14
strong,whatever,41
struggle,three,8
strong,three,16
fake,validation,8
grade,thinking,8
either,gt,27
never,see,158
certain,never,46
teach,voice,25
stop,walk,32
away,judge,13
clear,tool,7
available,include,5
mistake,say,28
plus,school,11
lose,parent,68
anyway,parent,31
move,word,53
pay,stay,77
butt,notice,34
ass,give,11
face,type,31
balance,gym,6
possible,truth,22
fake,term,8
pretend,term,4
ass,forward,7
eye,fake,18
clothes,ignore,4
hear,improve,28
core,feeling,13
desire,making,26
deal,require,28
sense,young,35
intention,walk,8
realize,write,58
conversation,write,40
base,guy,23
early,future,23
benefit,internet,11
everything,run,54
money,prove,23
laziness,throw,1
dad,emotion,17
left,lose,24
gt,system,18
event,remember,27
history,remember,16
child,word,47
event,word,17
allow,imagine,20
allow,potential,15
begin,environment,17
attempt,failure,19
field,room,4
