node1_norm,node2_norm,weight
great,learn,117
interested,leave,15
definitely,degree,15
group,unless,12
develop,follow,51
account,two,20
first,hair,19
begin,hold,65
hold,suck,11
continue,effort,29
expect,suck,16
result,see,79
mom,see,52
accept,definitely,16
opinion,result,30
class,worry,20
result,stupid,27
find,pick,52
become,great,113
grateful,great,12
happiness,lesson,18
keep,schedule,27
depression,fit,10
schedule,stick,30
simple,willing,8
actually,see,94
fun,long,43
girl,smart,64
call,set,62
boring,deserve,4
joy,speak,12
bring,empty,7
story,term,18
car,story,22
angry,plenty,4
example,tv,12
pretty,whole,74
child,dark,6
decision,purpose,18
stress,thought,34
death,less,17
cause,top,11
energy,reaction,6
simply,usually,25
due,fully,5
anger,top,3
anger,prove,8
field,system,7
look,short,40
club,look,15
great,happen,60
made,walking,10
bear,enough,15
guess,play,46
speak,three,18
face,weight,35
club,luck,3
react,story,12
low,short,13
move,part,63
end,loss,6
decide,either,20
ego,forgive,12
sure,tell,48
check,understand,13
active,busy,2
struggle,wish,38
follow,sure,29
become,method,22
story,watch,52
history,short,4
attitude,interest,15
bear,highly,4
build,circle,17
real,reject,13
else,pretty,27
able,stress,20
currently,turn,21
become,guy,72
confidence,voice,27
ever,hold,62
back,judge,28
come,working,45
back,head,104
dad,finally,27
big,look,57
actually,rude,4
though,worry,15
though,tip,7
fuck,smile,22
ass,turn,12
please,term,10
rude,truth,2
edit,weird,1
ignore,rude,9
bring,grow,73
always,sorry,33
group,improve,21
group,remember,45
alone,career,24
ask,study,50
large,worry,6
almost,enjoy,51
confident,pretty,30
honest,young,8
core,recently,3
image,realise,3
couple,poor,3
hurt,word,83
grow,money,130
current,honest,3
exist,keep,17
grateful,important,8
nobody,suffer,20
opportunity,treat,13
completely,core,8
mind,success,53
base,perceive,24
continue,two,52
continue,note,5
education,left,9
answer,history,12
begin,context,9
child,growth,12
growth,order,16
aware,present,28
cool,event,9
context,event,8
support,surprise,4
fit,gift,4
boring,hobbies,15
comfort,project,7
anymore,die,30
future,motivation,48
motivation,normal,20
come,try,116
source,try,18
find,miss,22
reason,see,75
always,white,6
instead,talk,48
entire,talk,35
insecurities,talk,19
class,stop,35
happen,opportunity,29
role,seem,6
great,wait,6
dream,thought,15
thought,voice,34
opportunity,sometimes,17
catch,sometimes,5
pretty,reason,31
insecurities,reason,6
option,play,20
cause,conversation,41
ability,fact,40
head,role,10
set,support,33
forget,human,27
almost,dream,25
figure,white,2
cycle,difficult,11
forget,opportunity,17
opportunity,solve,6
helpful,insecurities,5
angry,space,4
meditation,miss,5
meditation,space,6
character,source,3
insecurities,white,1
add,working,23
huge,improve,8
anymore,high,71
high,soon,31
die,motivation,18
anymore,relationship,64
almost,drive,21
follow,single,23
hope,little,18
future,second,39
broke,together,37
hope,quality,2
book,compassion,20
deep,hold,42
family,fulfil,13
dream,enough,28
complete,either,15
hair,university,4
easy,lesson,20
need,responsibility,47
fill,need,30
give,provide,31
boundaries,seem,8
happy,power,20
anyone,often,23
place,show,30
place,respect,20
choose,close,43
choose,path,76
express,follow,8
desire,partner,39
base,provide,14
suffer,upset,7
handle,uncomfortable,7
connection,responsibility,4
fuck,sure,31
fail,never,103
class,computer,17
key,see,19
begin,keep,86
first,mindset,53
hope,mindset,8
fat,saying,6
exercise,meet,22
less,mindset,40
bullshit,remember,8
act,expect,46
energy,respect,23
benefit,eye,9
clear,purpose,22
communication,loser,4
deal,improve,20
far,major,5
check,cut,12
cut,escape,9
ever,girlfriend,43
close,sit,33
ability,function,12
accept,interest,24
lead,quality,17
decide,interest,16
develop,list,28
believe,learn,112
parent,remind,11
hold,simply,41
barely,depression,11
probably,watch,26
fear,pain,89
leave,tired,23
