node1_norm,node2_norm,weight
learn,read,15941
however,money,2117
anyone,look,10533
depression,ever,5987
heres,learn,2151
almost,always,6483
back,weight,4320
first,setting,2005
ex,first,1500
big,should,7215
achieve,should,4020
judge,should,1887
long,making,9121
fight,long,2684
depressed,relationship,1886
fight,relationship,1712
book,woman,1927
wake,woman,514
enough,low,2496
big,understand,4189
anyone,badly,2802
comfortable,high,1211
already,choice,1549
late,living,2580
challenge,late,924
ex,late,725
judge,kid,531
anymore,suffer,844
opinion,similar,835
journey,suffer,613
left,mention,393
force,heres,412
average,teach,281
afraid,heres,333
toxic,unhealthy,312
country,mention,222
skin,surround,88
close,tell,4530
long,regular,1231
fat,great,997
body,end,3759
fat,happy,769
improve,process,2891
made,option,1492
enough,kill,1271
avoid,watch,1585
pay,sad,660
future,water,543
avoid,listen,1274
option,sort,565
chance,power,592
comfort,making,1386
club,comfort,314
learn,talk,13465
happen,woman,3315
break,usually,1514
family,okay,1806
fat,half,241
improve,top,1462
close,girlfriend,832
lack,stop,2881
lack,setting,513
rid,schedule,161
average,sure,1025
free,meet,2127
shit,should,4901
see,top,3232
back,group,3746
support,working,2551
either,try,10837
back,open,4595
hopefully,tell,1346
little,should,8085
nice,should,3722
game,though,3380
game,turn,2639
hobbies,often,1210
accomplish,parent,582
fun,list,1201
amount,break,1151
diet,drink,1473
exercise,proud,622
impossible,rather,505
ahead,strong,513
failure,impossible,401
challenge,strength,403
incredibly,stop,975
basically,relationship,2267
brain,close,1124
class,sometimes,2076
computer,enjoy,741
die,try,4168
drug,end,1383
anyone,super,1551
fear,reach,1064
drive,fear,995
accomplish,fail,860
example,quite,1552
become,group,3279
ask,walking,553
difference,great,1885
highly,man,822
difference,recommend,673
huge,term,788
highly,jump,146
else,never,11097
back,bed,4186
spend,win,935
buy,parent,1315
leave,please,1579
first,overcome,1813
girl,however,1706
afraid,study,877
fast,study,1063
quite,suggestion,436
fast,huge,663
need,pay,8512
quit,win,404
brain,literally,1630
almost,necessary,436
almost,meditate,399
difficult,young,1142
name,open,597
able,instead,4452
honestly,need,5962
definitely,look,5457
hit,learn,2972
force,keep,3545
always,second,3675
language,read,2673
job,similar,2984
gym,live,2741
relationship,training,553
improve,open,2346
happen,physical,1943
hope,lead,2660
hope,ready,1252
girlfriend,spend,1311
important,interested,1565
huge,important,1668
less,sense,2575
certain,high,1624
healthy,recently,1380
real,stick,1955
far,gym,1581
girlfriend,gym,921
living,program,641
offer,practice,736
attitude,either,512
far,necessary,566
especially,ready,629
consider,definitely,1424
class,side,830
career,phone,486
training,waste,321
extremely,similar,755
base,honestly,665
base,fake,230
fight,ton,293
grateful,hopefully,142
necessary,unhealthy,136
set,spend,3214
confidence,whether,1058
need,sex,3901
awkward,conversation,1373
butt,lack,5703
certain,making,2309
agree,making,1463
making,receive,745
call,hope,3515
fuck,several,470
natural,whatever,836
follow,often,2197
order,side,763
balance,impossible,134
amount,give,4272
actually,eating,2284
body,full,1932
pretty,wrong,3030
run,shouldnt,658
lose,tend,878
back,talk,13950
stick,wife,329
actually,face,3194
sometimes,wrong,4242
however,sit,1373
career,position,889
book,practice,3423
listen,return,447
drink,interested,567
guy,party,1158
least,need,10368
end,wonder,1828
male,realize,627
boring,young,420
hear,male,443
everything,keep,13236
ex,talk,1617
build,first,7455
everything,lie,2236
create,working,3370
succeed,wrong,654
cycle,turn,910
smart,word,742
normal,wish,1114
single,wish,1086
car,level,553
extremely,result,807
ex,exactly,265
easily,tool,275
ex,research,112
fear,keep,4175
anxiety,great,3738
health,honest,812
catch,stay,938
admit,important,628
alone,fight,1203
friend,turn,3262
friendships,pretty,593
difficult,necessary,547
buy,seek,354
anyone,incredibly,838
back,fix,3182
relationship,reply,714
far,none,654
behavior,picture,235
necessarily,should,1185
anyone,date,2973
cause,hurt,1823
anyway,result,785
enjoy,making,4681
body,consider,1727
account,lack,284
account,recently,401
honest,order,650
clothes,emotional,140
approach,deserve,212
deserve,graduate,181
fuck,job,3995
internet,woman,806
conversation,long,3254
fast,lazy,375
mess,three,255
mood,three,232
home,walk,2407
effort,pay,1541
tv,weight,338
early,tv,496
productive,tv,498
book,carry,634
moving,thought,1274
event,spend,1188
cycle,girl,438
move,truly,1903
badly,mental,2166
mental,mentally,1786
incredibly,mental,611
deep,standard,343
awesome,try,2491
difficult,shit,1003
project,wish,471
interesting,skill,1384
kid,sorry,1205
actually,date,3203
complete,little,1726
smoke,sometimes,977
stay,throw,1011
already,system,953
already,throw,986
drink,whatever,1415
alone,date,2286
brain,comfort,602
create,weird,590
house,therapy,843
