node1_norm,node2_norm,weight
please,quite,957
keep,whether,3670
information,made,1150
high,need,10176
need,picture,2341
fight,find,3700
find,judge,2830
ever,graduate,2328
learn,left,3083
never,toxic,2343
back,literally,4044
feeling,number,1508
enough,long,10195
progress,stop,2584
number,stop,1453
case,live,2689
finally,mind,2287
improve,setting,1173
comfortable,woman,1220
anxiety,enough,3501
enough,forward,2103
literally,thinking,2254
big,mention,804
high,slowly,1120
high,surround,616
progress,remember,1827
remember,send,901
country,deal,667
strong,therapy,1058
anymore,side,989
left,similar,993
literally,push,878
eating,push,877
cut,judge,340
teach,unhealthy,173
skin,suffer,200
challenge,ex,141
fit,heres,350
setting,toxic,208
country,send,297
body,butt,7821
made,try,18697
interest,keep,4609
figure,never,5115
lost,stop,3893
insecure,stop,1206
develop,sad,436
single,slowly,603
insecure,tv,69
regular,tv,141
build,success,1904
environment,never,1617
completely,part,3247
part,ton,1133
hit,include,540
give,please,5643
stop,top,1786
ever,plan,6623
plan,recognize,483
exercising,mental,723
decision,say,4594
fault,great,842
job,top,2073
need,try,45951
little,tell,9134
plan,though,2773
enjoy,expect,1536
allow,another,2439
completely,often,2056
anyway,plan,925
completely,graduate,638
drink,guess,794
muscle,waiting,71
healthy,try,11574
difficult,end,2839
guy,personality,1903
notice,talk,4417
connection,skill,923
short,story,2611
look,recommend,5205
currently,find,4613
never,professional,1816
somewhere,tell,1719
first,handle,1853
house,online,872
date,should,3965
enough,means,3462
reach,run,1427
path,weight,614
fear,huge,815
learn,lesson,3907
health,need,9137
need,training,2470
keep,weight,4390
enough,voice,1120
brain,run,1856
literally,nice,1160
almost,text,610
consistent,meal,260
meal,train,144
actually,decision,2029
happen,mom,1488
ask,cut,1040
absolutely,decided,640
job,passion,1902
class,hobby,788
begin,future,1778
kid,simply,742
judge,sort,396
guess,interested,840
ever,recently,4725
always,far,5546
back,girlfriend,2423
great,view,1796
happy,important,4777
extremely,improve,1580
important,living,2748
deserve,high,855
mental,state,2857
real,state,1513
necessary,parent,422
home,lead,1546
home,pick,1617
college,country,1000
living,practice,1487
head,mentioned,736
class,pay,1854
far,literally,1280
bring,somehow,502
class,necessary,309
explore,rather,479
motivation,unhealthy,366
country,fall,543
begin,comfortable,1013
begin,three,870
path,similar,1038
hopefully,pick,400
desire,push,699
delete,push,184
anyways,choice,252
interested,side,716
current,second,639
base,desire,710
degree,strength,188
fitness,view,156
country,internet,301
grateful,three,374
grateful,terrible,172
able,journey,1966
reason,trust,1877
develop,tend,774
awkward,butt,2295
confidence,learn,4948
please,thought,1989
friend,sort,1524
hang,lack,487
hang,honest,411
group,thinking,1823
individual,thinking,821
follow,guess,1017
knowledgeable,order,594
natural,solution,295
house,try,5870
ever,tend,2807
amount,big,2105
pretty,totally,960
awkward,often,642
last,text,1001
kid,writing,776
return,writing,294
app,little,904
anyone,call,3320
build,see,8746
actually,conversation,2847
say,trouble,2244
male,social,1146
long,wonder,2412
become,waiting,1064
everything,thinking,7181
normal,working,2340
seem,successful,1638
build,enough,4519
hear,thinking,2878
productive,thinking,1229
body,normal,1767
quick,stay,753
productive,two,1091
remember,together,1583
remember,smart,926
emotional,set,951
exactly,hear,1158
lie,true,1313
energy,individual,426
almost,lie,940
fitness,follow,502
dream,level,757
early,smart,518
avoid,research,563
productive,state,579
business,single,657
hand,wonder,553
difficult,remind,591
kind,serious,1116
anxiety,call,2200
abuse,deal,660
seek,whole,937
order,return,356
maintain,middle,140
least,putting,1248
smart,tip,338
back,fully,2057
happy,provide,1168
forward,guy,1251
fast,guy,1292
last,perfect,1433
either,emotion,1411
finally,provide,472
emotional,none,264
reality,seem,1976
experienced,sit,430
find,willing,3267
human,job,1847
book,example,3931
book,sick,472
sometimes,suffer,1393
confidence,extremely,849
extremely,whole,1070
consider,face,1487
absolutely,lack,717
imagine,pursue,362
deserve,hair,164
account,hair,88
already,part,4454
hope,otherwise,898
already,possible,2465
currently,degree,940
although,nature,272
quite,writing,874
become,fun,4001
child,two,1356
often,three,979
badly,mess,703
social,write,3104
alone,far,2030
alone,terrible,719
open,please,1284
mentally,truly,603
event,forward,549
dream,girlfriend,499
present,track,321
mess,moving,335
die,main,308
awesome,guess,343
learn,smart,2562
somewhere,try,3706
often,trust,1267
field,home,702
alone,long,5346
become,bother,1022
actually,child,1768
little,rule,1017
able,bother,748
instead,move,3196
achieve,parent,1181
drink,therapy,791
bring,soon,1099
drink,soon,848
deep,easily,674
eye,lie,554
buy,wear,526
voice,weird,363
call,should,5377
afraid,call,1090
friendships,see,1690
learn,moving,2695
helpful,keep,3053
family,talk,7335
less,reality,1460
nice,write,1626
basically,write,1389
opinion,waste,716
basically,sad,665
basically,event,531
certain,helpful,795
opinion,reality,688
account,general,258
caring,general,228
badly,end,3899
learn,personality,2231
kind,read,6707
job,reality,1862
kind,zone,765
sound,zone,600
always,regularly,1267
actually,excuse,1400
begin,making,3005
kind,suffer,1395
begin,regularly,425
several,waste,387
low,muscle,504
drive,quickly,386
contact,diet,157
lifestyle,regularly,193
regularly,shape,221
learn,promise,1526
anymore,honestly,1399
addiction,talk,1248
least,worry,1604
overcome,plan,583
addiction,phone,844
education,relationship,759
come,train,1303
mind,share,3343
mind,perhaps,1382
