node1_norm,node2_norm,weight
encourage,learn,1395
alone,working,3744
currently,suggestion,447
need,wear,2104
find,though,13722
always,anymore,5190
kid,never,5220
never,surround,1174
kid,long,3701
relationship,woman,6428
judge,relationship,1135
average,woman,1120
enough,setting,1132
achieve,high,2199
clean,two,1380
force,healthy,1233
country,remember,636
deal,strong,1644
literally,lose,1325
left,weight,792
literally,value,765
fight,similar,639
literally,teach,650
eating,wake,1023
journey,mention,284
country,opinion,350
choice,picture,335
depressed,slowly,522
comfortable,slowly,623
challenge,teach,572
average,suffer,246
judge,skin,162
avoid,butt,5056
college,ever,6181
come,please,4662
live,working,7787
fast,happy,1545
enough,speak,2729
hope,insecure,671
spend,waste,3766
anyone,lost,2857
game,watch,4626
lost,pay,1815
future,moving,1200
interest,opportunity,1274
kill,process,484
develop,fast,826
avoid,water,684
clean,sort,574
dream,motivation,910
give,uncomfortable,1952
environment,part,1146
expectation,include,285
internet,late,825
fat,give,1605
keep,tired,2772
stop,talk,11637
tired,working,2119
motivation,see,4751
brain,rid,584
happy,move,4367
left,play,1630
fill,recently,473
hobbies,hobby,1602
mental,succeed,506
joke,should,1221
great,obviously,1344
couple,try,7070
back,made,12311
add,long,3650
book,couple,1931
break,spend,2790
however,last,2951
last,quit,2336
game,waiting,518
play,quit,1765
nice,two,1996
hobbies,turn,1266
expect,plan,1199
break,graduate,546
add,list,1954
diet,huge,573
hobby,quickly,180
appreciate,away,1896
far,lately,417
close,incredibly,446
class,enjoy,2040
build,study,2229
girl,sort,1170
develop,probably,1918
living,sort,1257
guy,making,4203
eye,friend,1404
conversation,eye,1022
challenge,walking,288
include,mind,1876
book,interest,2725
awesome,lazy,160
become,please,3283
high,sort,1526
desire,real,1220
couple,online,906
current,learn,2542
come,mind,14082
else,strong,2484
study,wrong,1955
attractive,recently,374
capable,left,290
guy,quite,1859
first,necessary,1602
book,large,723
absolutely,actually,2319
bear,look,2070
account,health,503
especially,ever,6152
grade,suffer,328
build,turn,2965
find,happen,14496
less,pretty,3307
cool,pretty,1555
cool,interested,683
home,need,9285
need,view,3801
home,see,7626
