node1_norm,node2_norm,weight
currently,look,3904
drive,improve,1603
attitude,enough,845
alone,hope,3713
improve,need,14947
find,skin,1646
deal,learn,5826
back,two,8356
deal,feeling,6004
live,weight,2143
body,mind,7194
book,clothes,613
high,school,12382
grow,making,4049
high,number,1118
forward,stay,1784
anxiety,eating,1268
left,living,1752
achieve,afraid,652
heres,rather,544
badly,clean,713
eating,side,668
ex,journey,246
fit,gain,370
send,surround,147
always,keep,18233
emotional,keep,2573
social,tell,7767
close,made,3489
hope,watch,3154
game,understand,2327
body,carry,694
close,watch,1578
develop,fact,1507
moving,waste,684
fit,sort,576
sad,sort,470
chance,feeling,2672
grow,throw,968
maintain,ton,187
internet,joke,172
another,food,2119
standard,weight,332
due,word,892
fix,try,6541
room,try,5152
room,see,3726
hate,stop,4656
brain,stop,4155
live,meet,5607
move,reason,3775
male,recently,453
butt,say,32700
career,lie,478
support,though,2015
muscle,try,2611
confident,long,2503
book,plan,2718
made,waiting,895
allow,little,2636
last,turn,3984
fun,last,2518
list,nice,1026
allow,lost,1228
guess,quickly,421
guess,middle,364
hopefully,huge,341
come,physically,2450
come,lately,1385
far,proud,1210
kind,stop,6140
either,relationship,3856
basically,great,2419
ability,great,2034
incredibly,whole,524
lack,sick,316
quite,single,858
hold,talk,4049
deal,desire,836
butt,head,8399
explain,great,1661
little,wrong,4001
example,explain,1383
afraid,listen,911
fast,strong,876
explain,regret,246
kind,sit,2269
first,meal,1390
brain,long,4582
run,sleep,2269
healthy,useful,542
healthy,lift,911
brain,nice,1044
voice,young,413
absolutely,else,1927
anymore,important,1563
long,reason,7708
example,though,3531
example,hear,2140
close,video,1198
interest,see,6072
project,see,2465
happy,zone,819
enjoy,grade,780
ahead,high,849
ahead,kid,509
dream,say,3601
ass,interested,224
butt,home,9066
butt,open,6210
grateful,look,1936
explore,learn,1935
bring,read,3769
path,stop,2300
great,push,2746
actually,project,1366
improve,rest,2095
pay,school,4009
decided,spend,2062
broke,realize,1006
high,speak,2060
training,two,846
healthy,personally,1214
home,side,1399
explore,home,474
rest,run,1555
desire,pay,767
state,stick,1311
far,fight,978
rather,usually,1470
attitude,open,456
fall,somehow,525
country,lead,520
lead,travel,353
begin,decided,1366
nature,strong,559
pick,side,969
explore,honestly,306
hopefully,state,395
hit,mentioned,404
area,terrible,286
fight,huge,614
degree,mentioned,321
delete,view,176
language,necessary,188
broke,three,343
delete,grateful,92
delete,necessary,85
basic,sure,1070
hang,plan,778
develop,sorry,802
basically,writing,835
confidence,head,1962
character,social,720
full,improve,1971
heart,hurt,1077
agree,lately,136
character,smart,192
standard,thought,491
believe,solution,1088
develop,whatever,1700
natural,response,385
butt,fine,4806
butt,schedule,2479
butt,shouldnt,3337
give,little,12458
