node1_norm,node2_norm,weight
keep,look,21109
need,real,9647
ever,forward,4531
back,force,3400
feeling,understand,8221
picture,stop,1198
high,relationship,4012
stay,woman,2056
body,push,1904
lose,progress,1523
opinion,weight,578
achieve,toxic,405
choice,rather,1165
case,kid,838
number,strong,510
anymore,early,1100
case,literally,904
literally,send,546
afraid,decided,577
country,fit,330
picture,setting,207
try,watch,11490
ever,option,2927
come,stop,13869
never,water,1692
deserve,never,2656
live,sad,2111
single,social,2200
made,tv,937
enough,process,2915
figure,waste,1413
close,emotional,882
waste,water,419
miss,moving,422
alcohol,making,670
quite,say,5348
head,talk,5851
fat,stand,197
close,due,1197
eventually,story,1133
ask,brain,1248
fix,plan,935
exercise,setting,643
recognize,rid,160
another,left,2264
decision,usually,818
decision,lie,559
abuse,enough,767
receive,regularly,96
anyway,try,5519
lost,school,3580
able,grow,3995
diet,spend,1097
enjoy,late,2991
fun,turn,2122
fun,often,1926
confident,video,729
open,quit,741
least,stick,2351
follow,strong,1367
appreciate,difficult,1031
lately,proud,179
making,true,2980
deal,say,8348
pretty,relationship,4274
end,literally,2883
lost,seem,3220
girl,remember,2025
living,lost,2298
literally,personality,650
tired,try,5003
hold,lost,1413
back,guy,7242
accomplish,connection,198
hope,mind,6548
number,tell,1962
online,please,870
learn,sure,9517
come,example,7512
first,suggestion,1479
badly,great,2729
girl,quite,1340
badly,date,1303
fear,run,1556
explain,weight,443
edit,weight,360
path,reach,1114
clear,path,1009
computer,try,2408
ever,train,1618
long,present,2411
book,run,2871
gym,sleep,2477
healthy,necessary,757
list,run,1487
run,walk,2376
job,should,9481
ask,hobbies,927
area,major,455
always,worried,1441
either,project,700
ever,lead,5538
degree,ever,3069
always,mentioned,1925
happy,sign,798
fitness,school,552
ability,hope,1359
spend,three,1319
place,second,2122
rather,realize,2469
realize,three,1040
career,less,1563
instead,two,3527
another,true,2514
high,motivation,1975
consider,healthy,1997
parent,usually,1319
bring,college,1352
living,true,1981
certain,head,1354
far,pay,1974
pay,similar,1274
consider,either,1972
rest,sense,1149
left,sense,1178
barely,speak,509
desire,stick,839
almost,view,813
bring,motivation,1136
means,phone,811
consider,sign,511
fight,open,782
explore,list,404
literally,waste,1137
honestly,internet,492
anyways,state,307
anyways,certain,297
fight,three,376
degree,huge,588
country,degree,676
ability,computer,219
offer,strength,241
able,set,3362
share,tool,583
decided,incredibly,295
choose,home,1477
basic,basically,555
drink,talk,2663
full,see,4893
follow,sometimes,2371
give,sense,6950
actually,develop,2811
run,thought,2438
accept,response,683
accept,somehow,585
follow,standard,463
guess,somehow,550
impossible,unless,298
read,shouldnt,1535
drink,free,1221
food,save,1106
stop,young,3328
play,probably,3351
continue,major,511
home,straight,860
short,sorry,941
relationship,worry,2253
extra,happen,823
confident,direction,330
success,try,5295
avoid,find,5593
business,keep,2565
energy,job,2556
job,research,1400
extremely,long,2525
mentioned,working,1311
create,single,1168
energy,together,1035
early,quick,481
avoid,cycle,503
fitness,individual,139
fitness,succeed,107
made,stick,3522
never,peace,1874
another,whole,2951
example,inner,601
switch,two,740
general,putting,523
depend,specific,493
butt,word,6064
active,attention,330
either,woman,2368
anyone,emotion,1897
confidence,last,2155
home,return,799
emotion,usually,1250
current,emotional,505
decided,listen,905
feeling,therapist,3581
lack,seem,3133
date,result,1021
long,struggled,1405
happy,whole,3406
else,graduate,1056
sick,sometimes,730
away,low,1771
consider,due,1158
recently,ultimately,256
gone,low,629
due,university,812
believe,second,1832
fix,long,2871
become,game,4863
become,water,1491
large,seem,1002
fix,mood,321
busy,home,935
pursue,tell,1556
social,tired,1520
part,perfect,1848
open,thought,2191
incredibly,thinking,715
girl,perfect,1139
alone,tired,1042
badly,main,534
fine,send,406
lonely,standard,114
basically,play,1870
tell,wait,1920
appreciate,field,355
kill,prepare,149
give,together,4748
learn,peace,1893
stop,whatever,5211
hair,stop,909
encourage,little,781
build,part,4233
