node1_norm,node2_norm,weight
check,community,625
drive,keep,3014
alone,encourage,465
country,learn,1786
always,progress,3438
back,wear,1470
first,suffer,2319
should,therapy,3429
badly,stop,3929
anxiety,live,4168
fun,live,3743
honest,relationship,2262
anyone,social,5547
similar,social,2833
making,push,2370
depression,though,2849
track,understand,830
almost,late,2609
country,living,1348
deal,heres,828
anymore,fun,1594
clean,fun,741
almost,progress,1210
badly,strong,1214
anymore,ex,691
force,journey,656
forward,judge,390
decided,setting,341
graduate,surround,131
try,working,19915
avoid,look,4655
always,fact,5844
insecure,social,1068
happy,improve,5778
emotional,enough,1721
play,shape,769
carry,figure,382
emotional,hurt,1008
kill,opportunity,372
fat,water,424
thinking,whatever,3852
build,exist,896
great,mess,1063
funny,share,540
internet,mess,230
far,try,9437
brain,see,6219
ever,far,7105
exercise,rid,365
little,male,812
computer,quite,344
social,together,2473
decision,great,2347
shit,together,2774
see,support,4716
happy,line,1256
comment,try,5970
confident,try,5294
back,expect,3251
couple,tell,3566
allow,read,3350
guess,long,3565
guess,made,2986
middle,play,622
ahead,fear,439
lack,potential,683
give,happy,11482
deep,end,3032
drive,happy,1702
girl,guy,7737
fail,reach,1263
abuse,sort,303
never,seem,11168
example,single,1418
ask,skill,1832
find,man,10964
recommend,term,963
big,tell,7989
else,sure,6701
back,explain,2329
little,soon,2301
clear,fail,809
recently,regret,459
overcome,soon,393
edit,regret,165
guy,learn,5963
quite,working,2483
reason,seem,5841
kind,turn,3744
need,young,7102
ever,means,6279
bed,keep,4073
gym,read,4367
present,should,2332
made,means,3016
important,text,701
nice,young,1408
lift,useful,121
big,important,4817
ex,interest,367
passion,short,395
carry,imagine,307
common,watch,814
high,smart,1349
judge,smart,315
actively,give,1467
means,try,8490
boring,look,1903
learn,waste,4391
come,desire,3173
always,important,8101
internet,read,2225
gym,stop,3760
ability,live,1987
honestly,relationship,2745
actually,definitely,3128
seem,though,7135
means,thinking,2857
hit,thinking,1664
gym,spend,2839
place,usually,2435
place,terrible,999
healthy,project,598
college,home,3062
college,decided,1492
living,mentioned,671
head,waste,1448
head,view,933
sense,whether,1494
attitude,true,509
heres,leave,680
consider,phone,800
consider,pick,1164
class,usually,1291
motivation,personally,637
language,open,711
fall,mentioned,519
begin,computer,430
girlfriend,phone,393
desire,pick,578
ability,career,654
choice,girlfriend,346
degree,recently,729
hit,three,529
barely,hit,426
explore,personally,330
current,program,317
language,somehow,202
broke,country,311
computer,mentioned,160
barely,nature,134
fake,necessary,102
far,share,1712
back,trust,3440
sure,tend,1711
kind,stay,3674
boring,talk,1850
ignore,meet,933
please,probably,1720
exact,probably,688
confidence,story,1097
keep,sometimes,9132
actually,understand,5532
certain,thought,1939
important,solution,1146
fuck,individual,398
group,several,560
follow,response,711
certain,response,547
attitude,solution,210
schedule,stay,1305
fine,whether,770
try,wife,1836
find,probably,11408
happy,related,691
computer,talk,1052
face,money,1650
call,pull,785
social,space,1048
build,meet,3090
extra,need,2522
give,man,9014
always,extra,1437
end,extra,1035
home,story,1708
ever,wish,5706
always,perfect,3540
business,talk,2013
back,everything,12765
happiness,job,2000
constantly,long,3493
quick,thinking,851
cycle,meet,648
quick,remember,700
motivated,turn,759
answer,regardless,447
energy,research,575
easily,smart,391
perhaps,quickly,241
away,real,3424
abuse,kind,741
alone,hear,1952
reality,usually,846
find,save,3858
interesting,list,718
run,value,1231
either,fail,1650
little,woman,2895
acknowledge,play,454
constantly,emotion,975
rather,serious,516
serious,stand,316
job,suffer,1737
due,happy,1941
admit,sometimes,832
believe,loss,550
university,whatever,606
willing,word,575
human,level,1097
quite,suppose,548
beautiful,sort,343
admit,honest,489
genuinely,imagine,278
although,train,168
awesome,development,119
internet,music,444
family,fill,923
finish,little,1335
drug,leave,611
notice,room,858
couple,productive,575
computer,room,439
easy,truly,2523
fine,two,1471
fine,please,840
please,present,628
dream,pursue,971
dark,present,228
class,community,1195
consider,half,674
account,anyone,682
butt,rid,1893
tell,tough,1786
figure,should,4390
cycle,should,1377
appreciate,last,2128
appreciate,knowledgeable,500
comfort,first,2144
eye,little,1927
class,making,2557
eye,thought,1474
expect,girl,1238
last,therapy,2206
build,expect,1511
buy,move,1420
date,parent,1473
confidence,deep,1249
confidence,soon,900
leave,weird,802
return,weird,167
comfort,complete,346
complete,rule,366
clothes,current,198
common,easily,395
comfort,easily,306
call,parent,2301
respect,see,3404
character,learn,1345
consider,feeling,4110
actually,nice,3324
else,honestly,2477
else,relate,1181
hope,relate,1270
fun,standard,399
find,realize,11621
affect,bring,712
mine,see,2780
muscle,relationship,500
excuse,quality,157
prepare,turn,597
become,yeah,1901
deal,realize,3248
business,realize,1137
ass,important,599
girlfriend,plan,654
addiction,open,422
cold,worry,286
reach,smart,528
path,putting,631
read,shit,4218
achieve,shit,1202
lose,shit,1991
ahead,game,748
current,future,1361
public,receive,150
difference,mind,1768
body,discover,494
difference,force,498
look,reach,4489
instead,progress,1909
response,show,973
break,standard,321
achieve,explain,549
case,perhaps,628
standard,writing,222
fit,generally,401
fit,train,232
easy,personal,2802
large,value,421
away,offer,1277
bring,future,1917
future,handle,658
come,exercising,1138
sleep,student,843
progress,sort,749
belief,character,221
thinking,whole,3226
interesting,mention,315
gone,gym,764
always,quit,3125
talk,whole,5070
emotion,first,3739
include,money,1112
cycle,instead,1001
hurt,two,1622
develop,girl,1342
internet,period,283
read,say,17995
job,means,3194
sorry,stay,1842
find,word,6319
hear,ready,708
early,emotional,598
grateful,individual,145
