node1_norm,node2_norm,weight
concept,look,1528
content,enough,1219
hope,mindset,1985
grow,money,2878
find,similar,7588
big,look,11644
depression,look,5200
back,judge,1665
clothes,feeling,933
first,judge,2011
fun,long,4384
afraid,long,2567
anymore,relationship,3087
fit,mind,1639
deal,improve,3053
healthy,though,3394
body,number,953
anymore,high,2194
remember,weight,1413
eating,remember,1260
depressed,real,1223
lose,toxic,654
fun,graduate,595
fun,gain,458
badly,depression,1926
depression,fit,694
mention,weight,343
country,value,434
gain,value,407
average,badly,554
early,graduate,700
finally,literally,983
literally,picture,434
journey,opinion,664
journey,unhealthy,294
clothes,cut,372
clean,fat,275
fight,gain,245
challenge,graduate,198
come,try,33286
ever,hobbies,3547
come,working,11907
tell,track,1491
great,happen,6981
picture,working,963
improve,pay,2531
happen,opportunity,2303
option,play,1088
college,please,1408
clean,interest,520
emotional,fit,466
deserve,miss,264
content,kill,197
mind,success,2114
present,seek,683
head,social,3271
environment,quite,408
enough,touch,858
stand,weight,520
give,house,3982
ask,study,1591
pretty,reason,3798
meet,pass,1224
student,thought,683
fault,joke,155
horrible,long,1195
jump,promise,121
expect,read,2380
nature,spend,1098
anyone,often,3190
guess,play,1710
however,quit,1058
emotional,healthy,1372
pretty,whole,2870
decide,either,1322
class,computer,649
drive,try,4785
fail,girl,1298
depression,drug,934
fuck,sometimes,2633
become,guy,6125
group,suck,715
hold,suck,774
reason,see,11680
made,walking,1131
gone,short,657
awesome,routine,229
jump,recommend,285
sure,tell,9419
currently,turn,1366
addiction,leave,480
check,sort,749
great,learn,12319
fail,never,5157
back,head,6779
become,great,9802
easy,failure,1693
attractive,easy,1115
little,regret,1016
need,sit,6871
away,turn,4195
consistent,look,1593
book,important,4373
enough,gym,2912
enough,useful,925
eat,whatever,2099
bed,weight,947
bed,exercise,1755
lift,walk,628
meal,strength,156
consistent,text,104
consistent,meditate,236
look,short,5148
else,stay,4478
main,young,533
common,whole,779
live,okay,2934
enjoy,worried,580
comfort,side,477
comfort,project,239
cool,instead,1059
guess,tend,650
actually,see,15767
ever,girlfriend,2913
come,heres,2250
begin,keep,4822
read,terrible,1283
class,stop,2726
boring,relationship,728
grateful,great,1285
happy,run,3079
huge,improve,1798
able,personally,1574
important,second,2041
grateful,important,731
instead,practice,2852
another,grateful,766
high,pick,1835
already,phone,1400
already,barely,699
delete,real,611
home,mentioned,694
attitude,practice,438
head,top,1280
basically,sense,1364
speak,three,677
degree,stick,1042
pursue,stick,743
degree,far,1126
motivation,true,946
career,leave,1209
interested,leave,961
consider,somehow,489
definitely,degree,712
huge,motivation,797
heres,phone,479
push,waste,962
certain,similar,1140
career,view,446
basically,three,522
barely,state,365
nature,whether,500
necessary,second,447
country,hit,435
current,personally,474
broke,desire,186
current,deserve,283
boring,deserve,130
girlfriend,hopefully,224
top,travel,198
boring,somehow,168
computer,fake,75
confidence,travel,275
share,travel,433
always,sorry,4311
back,suck,3108
home,reason,2993
always,drink,3250
character,never,1238
first,lately,996
improve,little,5598
hope,little,6178
lack,smart,641
certain,education,324
give,unless,2999
long,several,1761
unless,whatever,1191
accept,interest,1165
balance,interest,421
attitude,interest,396
group,unless,606
develop,follow,1557
develop,natural,706
benefit,prove,430
drug,lose,624
type,young,1141
anyone,specific,1008
answer,anyone,2241
hear,however,1730
huge,position,441
look,super,3599
laugh,realize,880
home,male,629
simply,usually,1063
trouble,usually,543
eating,successful,412
first,grateful,1428
dream,enough,1979
dream,thought,1286
motivated,thinking,870
place,show,3428
meet,quickly,818
struggle,wish,1513
almost,dream,1036
follow,single,1102
class,succeed,418
avoid,regardless,378
exactly,physical,579
perfect,successful,574
dream,perhaps,317
dream,individual,285
car,challenge,311
individual,succeed,189
keep,schedule,2559
chance,working,2000
anyone,whenever,1673
health,whenever,763
stick,tend,924
schedule,stick,1183
ever,hold,5658
admit,need,2112
find,pick,6371
pick,tell,3471
set,support,1358
crazy,tool,130
internet,lost,613
account,two,673
place,respect,1324
result,see,6921
friend,late,3388
late,reply,696
mother,picture,162
fill,need,3417
understanding,woman,661
hurt,quickly,384
admit,book,505
imagine,making,1662
guy,human,1497
beautiful,hate,723
consider,genuinely,596
absolutely,ass,318
job,safe,919
move,part,4335
lazy,never,1899
leave,sit,1714
fast,program,323
effort,sure,2727
close,sit,1371
brain,sure,2907
lonely,thought,744
thinking,write,3727
truly,two,1782
anymore,die,1076
lonely,perfect,276
community,look,2786
ass,manage,254
comfort,heres,289
ignore,knowledgeable,302
first,hair,1083
lead,social,2816
social,zone,1288
book,moment,2842
actually,increase,1505
end,making,7264
lead,made,3254
lie,made,1862
part,writing,2000
thought,voice,1220
already,weird,1042
already,increase,1005
leave,whatever,2072
date,name,538
confidence,voice,660
achieve,bother,300
agree,although,495
business,doubt,286
encourage,throw,169
find,miss,2869
feeling,relate,2072
caring,social,755
general,happy,1619
else,pretty,4583
able,general,1810
effort,relate,497
hold,simply,1208
account,sit,344
honestly,relate,498
continue,friendships,318
expect,suck,630
reality,stupid,487
relate,sad,293
cool,event,382
relate,somehow,237
believe,learn,7639
another,figure,2549
conversation,personally,697
personally,reality,537
affect,zone,165
overcome,write,744
account,little,736
contact,making,1221
almost,drive,1160
actively,muscle,95
ask,friend,3657
honestly,reply,372
text,treat,236
cold,least,778
ass,turn,757
forget,speak,1005
forward,phone,642
choice,putting,581
live,receive,1046
future,second,1356
basic,speak,508
far,major,735
key,see,2892
generally,look,2355
stop,version,1339
fuck,sure,3118
community,guy,894
anyone,line,1075
probably,watch,2959
actively,edit,112
say,teach,3962
kind,story,2232
appreciate,sleep,1118
college,consistent,340
appreciate,maintain,382
media,seem,2160
high,soon,1656
